"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"6/9/2012","-47.1875","-8.89852046966553","371","31.444","19.601","0","1.69207127632623","0.632302703665848","21.80204934894",
"6/10/2012","-47.1875","-8.89852046966553","371","31.514","18.142","0","1.44367306000433","0.642343071091841","21.7275491673252",
"6/11/2012","-47.1875","-8.89852046966553","371","31.594","19.723","0","1.42000244429156","0.642918678646221","21.626406709056",
"6/12/2012","-47.1875","-8.89852046966553","371","31.852","19.081","0","1.85181377836635","0.629221199089597","21.4561807515",
"6/13/2012","-47.1875","-8.89852046966553","371","31.452","20.914","0","1.35074076924278","0.675975139274009","11.167549643736",
"6/14/2012","-47.1875","-8.89852046966553","371","32.346","20.145","0","1.40942008001126","0.621387242681801","16.306585129836",
"6/15/2012","-47.1875","-8.89852046966553","371","32.248","18.969","0","1.31962902556568","0.592054094834933","21.299125562604",
"6/16/2012","-47.1875","-8.89852046966553","371","31.944","18.699","0","1.50667205337793","0.588116001768091","21.43424219868",
"6/17/2012","-47.1875","-8.89852046966553","371","33.93","18.953","0","0.868081030709432","0.599735744256276","15.3127758250188",
"6/18/2012","-47.1875","-8.89852046966553","371","32.817","20.479","0","1.54912770132011","0.589760847828922","17.842849207164",
"6/19/2012","-47.1875","-8.89852046966553","371","32.845","19.624","0","1.12272760967743","0.655847057947337","14.1572149191216",
"6/20/2012","-47.1875","-8.89852046966553","371","32.504","18.439","0","1.03400909827435","0.679247700100504","14.701467820644",
"6/21/2012","-47.1875","-8.89852046966553","371","33.012","20.487","2.5783533864","1.18602501621988","0.733948268488502","16.451266078512",
"6/22/2012","-47.1875","-8.89852046966553","371","31.313","20.375","0.0377655264","1.4810829301101","0.687896541028457","14.3789357754252",
"6/23/2012","-47.1875","-8.89852046966553","371","33.87","19.413","0.0171661392","1.38725098307729","0.627812300468208","20.144824309908",
"6/24/2012","-47.1875","-8.89852046966553","371","32.855","20.608","0","1.35268452973836","0.622156574676282","16.802541344052",
"6/25/2012","-47.1875","-8.89852046966553","371","32.346","20.845","0.576782352","1.72807497588171","0.578760354567531","21.0312968319864",
"6/26/2012","-47.1875","-8.89852046966553","371","31.893","16.403","0","1.51100024969605","0.520017307125789","22.012450659612",
"6/27/2012","-47.1875","-8.89852046966553","371","31.638","18.058","0","1.61467179511262","0.543348540974396","21.8145020145624",
"6/28/2012","-47.1875","-8.89852046966553","371","31.919","18.894","0","1.89398741161426","0.544560026863626","21.9272197872888",
"6/29/2012","-47.1875","-8.89852046966553","371","32.354","19.109","0","1.52915035177566","0.609384576477845","21.265526546892",
