"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"5/23/2012","-35.625","-9.21074962615967","89","28.475","16.388","0.585365238","2.44640188358946","0.825088074919101","15.623804486052",
"5/24/2012","-35.625","-9.21074962615967","89","23.431","15.199","11.7141666984","1.1874575697488","0.950592723607061","8.723735697276",
"5/25/2012","-35.625","-9.21074962615967","89","27.597","17.832","2.725985196","2.44408493605771","0.867203716555343","16.229574438516",
"5/26/2012","-35.625","-9.21074962615967","89","29.543","17.672","0.0308990592","2.59737323439258","0.787669541687464","21.276009047178",
"5/27/2012","-35.625","-9.21074962615967","89","29.363","17.39","0.0995636232","2.81200800445352","0.807347536183059","15.636569767596",
"5/28/2012","-35.625","-9.21074962615967","89","28.907","16.801","0.813675852","2.90339337700738","0.806728762336943","20.526754435956",
"5/29/2012","-35.625","-9.21074962615967","89","27.285","17.899","3.313070784","3.06517508540158","0.864744962725968","11.329988455404",
"5/30/2012","-35.625","-9.21074962615967","89","27.999","17.45","0.0617981184","2.56253159145876","0.825140323816718","15.520829163336",
"5/31/2012","-35.625","-9.21074962615967","89","29.845","17.332","0.0205993584","2.59579185140757","0.772953805828643","20.224329574734",
"6/1/2012","-35.625","-9.21074962615967","89","29.01","18.85","0.0274658328","3.23686819422648","0.793692917608695","19.261733306616",
"6/2/2012","-35.625","-9.21074962615967","89","29.262","17.779","0","3.08668104549956","0.762492606639593","21.476776557852",
"6/3/2012","-35.625","-9.21074962615967","89","29.238","17.085","0.0034332264","2.90846641722295","0.798553056491526","19.6901047216728",
"6/4/2012","-35.625","-9.21074962615967","89","28.389","17.712","0.3707887464","3.0647499893508","0.794903194037963","17.7571861224264",
"6/5/2012","-35.625","-9.21074962615967","89","29.245","15.794","0","3.05479295274258","0.751652625747266","21.295615333968",
"6/6/2012","-35.625","-9.21074962615967","89","29.384","14.83","0","3.15788457903013","0.780322453772066","19.767531465504",
"6/7/2012","-35.625","-9.21074962615967","89","25.914","17.015","0.188827488","2.83548084875936","0.820192928167764","7.561005902316",
"6/8/2012","-35.625","-9.21074962615967","89","28.59","16.533","0.09613044","2.91457396387225","0.804165369962219","18.376260402924",
"6/9/2012","-35.625","-9.21074962615967","89","25.071","16.224","0.0961303896","2.43376000116402","0.832926473939701","9.229432676184",
"6/10/2012","-35.625","-9.21074962615967","89","28.487","15.726","0.0583648632","2.54038367399784","0.784701970164794","16.37828619966",
"6/11/2012","-35.625","-9.21074962615967","89","22.892","16.095","5.0640114384","1.93949378879034","0.933681342300051","11.511021588804",
"6/12/2012","-35.625","-9.21074962615967","89","26.743","17.079","0.6969456504","2.55002429095232","0.858137017685789","16.72887711294",
"6/13/2012","-35.625","-9.21074962615967","89","26.757","17.565","0.2265930936","3.11632023298681","0.842544060349218","9.249207195096",
"6/14/2012","-35.625","-9.21074962615967","89","24.516","16.059","2.1732330024","3.05951744949627","0.834673664638224","7.896261015432",
"6/15/2012","-35.625","-9.21074962615967","89","22.504","14.992","0.779342976","1.6871634659947","0.905397265527111","4.991014141596",
"6/16/2012","-35.625","-9.21074962615967","89","28.264","13.613","0.02059938","2.23495539478927","0.787771864061848","16.755199152048",
"6/17/2012","-35.625","-9.21074962615967","89","29.076","13.285","0.0034332264","2.62224479205153","0.785056166229385","20.6985396600468",
"6/18/2012","-35.625","-9.21074962615967","89","28.405","17.807","0.24204249","2.42162554251103","0.833629852418273","13.030263763884",
"6/19/2012","-35.625","-9.21074962615967","89","23.315","17.613","2.411842572","1.79841285333348","0.938084906511486","7.5278145589416",
"6/20/2012","-35.625","-9.21074962615967","89","29.417","16.228","0","2.82235371502396","0.76841727154175","20.855441847564",
"6/21/2012","-35.625","-9.21074962615967","89","28.767","15.142","3.8074459824","2.62679182093867","0.86398849548381","19.1842260579",
"6/22/2012","-35.625","-9.21074962615967","89","24.736","18.821","2.77404768","3.03380907321588","0.896135342541809","16.1397226672812",
"6/23/2012","-35.625","-9.21074962615967","89","28.817","17.252","0.113296212","3.05568250608277","0.802277862852103","20.372634720828",
"6/24/2012","-35.625","-9.21074962615967","89","27.663","16.541","6.1214463864","3.06280642874358","0.845518961688445","20.137987748412",
"6/25/2012","-35.625","-9.21074962615967","89","27.233","17.621","3.73534596","3.23242814210296","0.825757603319886","20.5828732874664",
"6/26/2012","-35.625","-9.21074962615967","89","24.611","15.553","8.538436908","2.89259886159911","0.860599105773418","13.454691939648",
"6/27/2012","-35.625","-9.21074962615967","89","21.667","14.443","3.5842917384","2.15901910066759","0.935869030685158","3.9769486678944",
"6/28/2012","-35.625","-9.21074962615967","89","25.596","16.713","2.8118133864","2.82430002083844","0.887046580657289","8.7792345925128",
"6/29/2012","-35.625","-9.21074962615967","89","27.311","16.472","0.2643582672","3.08421350269319","0.821955431864266","18.973964547792",
"6/30/2012","-35.625","-9.21074962615967","89","25.668","15.448","4.32243288","3.04068127244147","0.869573115188703","13.4491819115304",
"7/1/2012","-35.625","-9.21074962615967","89","26.905","15.049","0.0240325992","3.00636509003277","0.816950853691653","15.700547786796",
"7/2/2012","-35.625","-9.21074962615967","89","26.226","16.52","2.552604984","3.3260324070415","0.845049812657881","10.8063197307432",
"7/3/2012","-35.625","-9.21074962615967","89","20.858","16.358","4.1198718744","2.41650996954289","0.956691806534054","3.561935200956",
"7/4/2012","-35.625","-9.21074962615967","89","26.328","15.988","0.2883908664","3.55733341222179","0.826367265837923","20.4878802707604",
"7/5/2012","-35.625","-9.21074962615967","89","23.435","16.572","1.244545524","3.11053343223915","0.87540317310892","18.203923605168",
"7/6/2012","-35.625","-9.21074962615967","89","25.292","16.691","0.156211848","2.97200705633376","0.844567709281503","15.953284842408",
"7/7/2012","-35.625","-9.21074962615967","89","26.501","16.496","0.0068664528","2.79533764423644","0.814000439514919","15.752150772912",
"7/8/2012","-35.625","-9.21074962615967","89","27.421","15.306","0.0566482392","2.61317542094357","0.834349842190296","16.3878821432892",
"7/9/2012","-35.625","-9.21074962615967","89","25.139","19.38","1.263427704","3.07042464150866","0.875153794633976","11.08611784386",
"7/10/2012","-35.625","-9.21074962615967","89","23.805","16.144","0.2059936776","2.67400756882081","0.857768760422435","7.6995026374896",
"7/11/2012","-35.625","-9.21074962615967","89","24.803","15.225","0.0549316152","2.31084009386312","0.830474050352905","13.041463442724",
"7/12/2012","-35.625","-9.21074962615967","89","27.849","15.681","0.78277572","2.86182936139475","0.833213216363334","20.685989802636",
"7/13/2012","-35.625","-9.21074962615967","89","25.76","18.281","5.51376756","2.84498959471164","0.901778700599496","11.6222105949401",
"7/14/2012","-35.625","-9.21074962615967","89","26.623","16.338","0.0858306888","2.88292532834437","0.849035876588593","12.148164922446",
"7/15/2012","-35.625","-9.21074962615967","89","23.246","12.733","2.5182722304","1.99822748165841","0.904307605021556","12.1090159185372",
"7/16/2012","-35.625","-9.21074962615967","89","24.574","11.52","0.0446319288","1.66678497565564","0.862430959797257","11.2030579586016",
"7/17/2012","-35.625","-9.21074962615967","89","21.827","17.22","6.852720744","1.88670968536756","0.95742117953827","5.997103235136",
"7/18/2012","-35.625","-9.21074962615967","89","22.91","18.15","4.2211524528","2.39014921759209","0.916080679979223","6.7259668720104",
"7/19/2012","-35.625","-9.21074962615967","89","25.12","14.376","0.8789066784","2.18031373125917","0.857721733095154","11.283208125804",
"7/20/2012","-35.625","-9.21074962615967","89","26.878","13.196","0.1098632808","2.85744483632553","0.81118979055113","21.6352284194556",
"7/21/2012","-35.625","-9.21074962615967","89","22.073","16.647","4.037475888","2.60256349603283","0.936845592051171","7.014748225464",
"7/22/2012","-35.625","-9.21074962615967","89","26.527","13.055","0","2.87703187128088","0.781758708390875","22.542190054668",
"7/23/2012","-35.625","-9.21074962615967","89","26.598","14.969","0","3.04222277084354","0.792873074258985","22.3008703904376",
"7/24/2012","-35.625","-9.21074962615967","89","26.42","14.587","0.2231599464","2.83377166508638","0.822490710800501","17.796549161952",
"7/25/2012","-35.625","-9.21074962615967","89","23.396","11.594","2.28652884","2.55999619522035","0.885651058515871","7.2317516539356",
"7/26/2012","-35.625","-9.21074962615967","89","26.296","11.273","0.3690717624","2.67517205588294","0.827035921521318","20.0756540571588",
"7/27/2012","-35.625","-9.21074962615967","89","20.745","16.167","3.69071964","2.81134523581625","0.961970103428882","3.574776107556",
"7/28/2012","-35.625","-9.21074962615967","89","24.668","14.371","0","2.88975851136501","0.818722589529431","21.55315541697",
"7/29/2012","-35.625","-9.21074962615967","89","24.114","13.782","0.0274658328","3.00832641401815","0.823014843205382","10.822914014544",
"7/30/2012","-35.625","-9.21074962615967","89","21.677","15.234","3.203204076","2.79755555756745","0.934300376342189","5.2695221346",
"7/31/2012","-35.625","-9.21074962615967","89","20.409","17.721","5.23223964","3.44027059261059","0.9554141491736","6.955766516394",
"8/1/2012","-35.625","-9.21074962615967","89","25.397","17.118","3.6666882","3.30442803612352","0.86115377239027","19.9031627924993",
"8/2/2012","-35.625","-9.21074962615967","89","22.278","17.861","5.973815844","2.20487438399238","0.949721700999843","9.2008514664612",
"8/3/2012","-35.625","-9.21074962615967","89","22.979","14.595","0.6763457304","2.75980138520308","0.842836529253544","11.051701699968",
"8/4/2012","-35.625","-9.21074962615967","89","23.313","13.166","0.264358512","2.39295574923256","0.861544284441022","6.4413963583056",
