Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,state
12/11/02,-41.875,25.493,765,19.366,0.247192135,2.533014896,8.4658473,0.80291003,Minas Gerais
1/10/03,-41.875,32.007,765,17.977,0,1.963951382,26.22925908,0.708389297,Minas Gerais
2/9/03,-41.875,29.47,765,15.372,0.020599373,2.256669767,31.08083805,0.634798678,Minas Gerais
3/11/03,-41.875,30.921,765,17.507,1.222229635,2.847973208,21.0771036,0.753371515,Minas Gerais
4/10/03,-41.875,30.707,765,18.011,0.185394197,1.814921125,22.02581772,0.725237689,Minas Gerais
5/10/03,-41.875,25.917,765,15.147,0.64887984,2.928094758,15.4487214,0.747345891,Minas Gerais
6/9/03,-41.875,26.519,765,13.534,0.05493168,2.973421909,13.19468004,0.746176811,Minas Gerais
7/9/03,-41.875,27.099,765,10.249,0,2.331508567,20.17546776,0.585807785,Minas Gerais
8/8/03,-41.875,28.395,765,14.976,0.223159802,2.769717162,22.29542226,0.616561895,Minas Gerais
9/7/03,-41.875,20.017,765,14.797,0.546742332,3.34131074,6.96583296,0.773829122,Minas Gerais
10/7/03,-41.875,32.329,765,17.225,0,3.597665257,28.1613501,0.55671117,Minas Gerais
11/6/03,-41.875,25.476,765,15.676,1.406765858,2.679592162,13.0556826,0.783990653,Minas Gerais
12/6/03,-41.875,35.788,765,18.365,0,2.203051001,20.9781,0.466458443,Minas Gerais
1/5/04,-41.875,32.325,765,19.262,0.190544112,2.834130836,25.92376092,0.590682863,Minas Gerais
2/4/04,-41.875,28.921,765,15.051,0,2.494754855,25.88056281,0.728563701,Minas Gerais
3/5/04,-41.875,26.094,765,16.802,0.096130361,2.889083034,20.4180174,0.774204341,Minas Gerais
4/4/04,-41.875,26.827,765,18.314,1.241112355,2.052755303,18.64991034,0.866741579,Minas Gerais
5/4/04,-41.875,23.065,765,15.514,1.019668428,2.331547917,8.07569928,0.892819689,Minas Gerais
6/3/04,-41.875,24.419,765,14.731,0.271225044,1.719901599,11.4802866,0.863858391,Minas Gerais
7/3/04,-41.875,23.154,765,14.046,0.258350494,2.043932837,13.38598746,0.836193211,Minas Gerais
8/2/04,-41.875,24.774,765,14.344,0.041198724,2.272796281,18.72017064,0.747205563,Minas Gerais
9/1/04,-41.875,27.512,765,14.617,0.010299679,3.634634222,25.22312172,0.627190262,Minas Gerais
10/1/04,-41.875,28.613,765,14.912,0.037765505,3.813283768,28.11561066,0.619551314,Minas Gerais
10/31/04,-41.875,27.846,765,17.186,0.308990628,2.736587821,25.9104393,0.735255254,Minas Gerais
11/30/04,-41.875,21.966,765,18.496,19.9487628,2.632670775,4.36381956,0.941128324,Minas Gerais
12/30/04,-41.875,29.884,765,15.767,0,2.691254661,31.4654778,0.664830148,Minas Gerais
1/29/05,-41.875,22.532,765,17.839,1.768111812,3.091940991,8.6887701,0.893862956,Minas Gerais
2/28/05,-41.875,30.105,765,20.051,2.63671938,1.755700945,25.0608384,0.786042841,Minas Gerais
3/30/05,-41.875,22.152,765,17.462,0.71754421,1.778079801,7.6314375,0.908938075,Minas Gerais
4/29/05,-41.875,25.004,765,17.244,1.570701658,1.920620858,8.0301888,0.880058199,Minas Gerais
5/29/05,-41.875,23.773,765,16.98,1.282311144,2.520779486,9.16245126,0.870073674,Minas Gerais
6/28/05,-41.875,21.573,765,13.293,0.64802178,2.25637618,5.2079031,0.839133948,Minas Gerais
7/28/05,-41.875,25.029,765,12.529,0.024032599,2.3557869,15.70718934,0.75634611,Minas Gerais
8/27/05,-41.875,26.938,765,12.187,0,3.187694744,23.13871956,0.66558721,Minas Gerais
9/26/05,-41.875,31.528,765,18.237,0.010299679,2.953236612,20.52095805,0.607530403,Minas Gerais
10/26/05,-41.875,32.639,765,15.77,0.02746584,3.110376788,29.7544392,0.511500684,Minas Gerais
11/25/05,-41.875,20.504,765,17.396,9.851648292,3.456566335,5.30054892,0.899847749,Minas Gerais
12/25/05,-41.875,30.13,765,14.836,0.617981004,2.381317375,28.2090807,0.721758468,Minas Gerais
