state,month
Alagoas,November
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Alagoas,December
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,January
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,February
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,March
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,April
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,May
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,June
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,July
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,August
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,September
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,October
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,November
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amapa,December
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,January
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,February
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,March
Amazonas,April
Amazonas,April
Amazonas,April
Amazonas,April
Amazonas,April
Amazonas,April
Amazonas,April
Amazonas,April
Amazonas,April
Amazonas,April
