,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
27,2005,-41.875,27.588,765.0,17.316,0.12702947,2.3963608919999997,25.46589132,0.792336846,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2006,-41.875,25.021,765.0,14.552,0.314140284,2.806949235,23.2482411,0.7649764520000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2007,-41.875,21.78,765.0,14.745,0.841140468,2.562850002,9.72242496,0.856498086,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2008,-41.875,22.066999999999997,765.0,11.129000000000001,0.477218772,2.7222384639999997,10.3984308,0.805164498,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2009,-41.875,29.408,765.0,14.659,0.020599358,2.578284785,19.96571052,0.6897469509999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2010,-41.875,23.144000000000002,765.0,14.855,0.496959725,2.594625657,9.679502628,0.820324775,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2011,-41.875,28.281999999999996,765.0,10.883,0.0,2.595971674,28.23338621,0.566871637,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2012,-41.875,32.86,765.0,16.399,0.0,3.002055555,21.92135994,0.5678117079999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2013,-41.875,29.294,765.0,17.502,0.0,3.0479341310000003,30.631514399999997,0.6086685479999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2014,-41.875,27.051,765.0,18.953,16.56874848,1.181783633,26.1219924,0.92347475,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2015,-41.875,29.813000000000002,765.0,15.078,4.638295332,1.5915422430000001,30.24977868,0.7958856209999999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,-41.875,30.213,765.0,16.375,0.09269712,2.384897909,22.54095441,0.701718153,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2017,-41.875,28.425,765.0,15.137,0.010299679,2.583495287,23.74138224,0.7368041820000001,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1998,-41.875,30.146,765.0,14.659,0.31929012,1.7068733280000001,19.03454532,0.67657537,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1999,-41.875,24.97,765.0,14.0,0.37422179299999997,2.7434993469999998,16.69685796,0.685522217,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2000,-41.875,24.844,765.0,15.388,0.027465826000000002,3.061500039,14.60350908,0.66758598,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2001,-41.875,26.633000000000003,765.0,15.495999999999999,0.38452156600000004,2.109119626,13.98425616,0.754293843,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2002,-41.875,21.266,765.0,13.594000000000001,0.8042334409999999,3.01588213,6.97286448,0.81275914,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2003,-41.875,32.684,765.0,15.007,2.609256146,2.65697457,14.91384316,0.631584272,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2004,-41.875,22.039,765.0,18.296,1.936340568,2.5341736569999997,7.37443224,0.804674243,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2005,-41.875,32.107,765.0,18.822,1.9260414000000001,3.034101512,21.6745875,0.650677119,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2006,-41.875,33.657,765.0,18.055999999999997,0.0,3.334428415,23.5243674,0.5781262389999999,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2007,-41.875,24.497,765.0,19.187,7.29046116,3.271033542,14.02255818,0.8861875229999999,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2008,-41.875,28.555999999999997,765.0,16.782,2.42729316,1.822707373,21.14449306,0.773411416,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2009,-41.875,28.625,765.0,16.955,0.017166132,2.113605249,17.06850288,0.74987157,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2010,-41.875,28.395,765.0,16.91,0.144195566,2.671429525,24.478642800000003,0.6856804059999999,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2011,-41.875,26.142,765.0,16.288,0.487518451,2.491603543,12.28235706,0.774301163,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2012,-41.875,26.076,765.0,15.065,0.23345943800000002,2.483256823,14.32052046,0.759148387,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2013,-41.875,30.304000000000002,765.0,17.991,0.600814476,2.3766359180000003,15.81069924,0.635797512,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2014,-41.875,26.555999999999997,765.0,12.071,0.0,2.711650853,17.69366196,0.666724757,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2015,-41.875,22.47,765.0,13.65,0.946712448,2.929615858,13.4337951,0.763658788,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2016,-41.875,31.000999999999998,765.0,16.811,0.020599358,3.553907681,26.62008804,0.578638546,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2017,-41.875,31.201,765.0,17.846,0.017166132,2.9831645260000004,30.23717742,0.628505826,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1998,-41.875,25.493000000000002,765.0,19.366,0.247192135,2.533014896,8.465847300000002,0.80291003,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1999,-41.875,32.007,765.0,17.977,0.0,1.9639513819999999,26.22925908,0.7083892970000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2000,-41.875,29.47,765.0,15.372,0.020599373,2.256669767,31.08083805,0.634798678,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2001,-41.875,30.921,765.0,17.507,1.222229635,2.847973208,21.0771036,0.753371515,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2002,-41.875,30.706999999999997,765.0,18.011,0.18539419699999998,1.814921125,22.02581772,0.7252376890000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2003,-41.875,25.916999999999998,765.0,15.147,0.64887984,2.9280947580000003,15.4487214,0.7473458909999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2004,-41.875,26.519000000000002,765.0,13.534,0.05493168,2.973421909,13.19468004,0.746176811,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2005,-41.875,27.099,765.0,10.249,0.0,2.3315085669999998,20.17546776,0.585807785,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2006,-41.875,28.395,765.0,14.975999999999999,0.223159802,2.769717162,22.29542226,0.616561895,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2007,-41.875,20.017,765.0,14.797,0.546742332,3.34131074,6.96583296,0.773829122,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2008,-41.875,32.329,765.0,17.225,0.0,3.597665257,28.1613501,0.55671117,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
