,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
845,2005,-58.75,29.245,96.0,21.624000000000002,56.37189575,1.160163743,14.87289607,0.894871492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
846,2006,-58.75,28.891,96.0,22.305,14.28565536,1.46458575,26.43243858,0.9061923759999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
847,2007,-58.75,33.289,96.0,22.386999999999997,3.64608864,1.648748228,26.371178999999998,0.77093186,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
848,2008,-58.75,28.166,96.0,22.739,1.2325293,0.931575815,13.299407999999998,0.923328079,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
849,2009,-58.75,32.824,96.0,20.888,1.6256339640000002,1.290894118,23.57561268,0.752780379,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2010,-58.75,29.974,96.0,22.01,1.999853453,1.090754862,17.630883899999997,0.8331184209999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
851,2011,-58.75,32.995,96.0,20.586,0.14762879999999998,1.638770911,23.2536897,0.678636778,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
852,2012,-58.75,38.944,96.0,19.564,0.0,1.4348595730000002,25.03119636,0.40951172399999997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
853,2013,-58.75,39.49,96.0,21.128,0.0,1.048950256,18.69333597,0.41781231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
854,2014,-58.75,38.993,96.0,25.638,0.0,1.1517520540000001,18.76792716,0.486534189,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
855,2015,-58.75,39.544000000000004,96.0,23.002,0.0,1.234336915,24.35354172,0.462785179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
856,2016,-58.75,36.903,96.0,24.445,0.066947918,1.2062665479999999,21.79693044,0.588584388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
857,2017,-58.75,29.964000000000002,96.0,23.314,12.60680644,0.9668486340000001,19.038879,0.933979853,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
858,1998,-58.75,33.056,96.0,22.256,1.802446596,1.613462515,14.3676045,0.806930673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
859,1999,-58.75,28.87,96.0,23.008000000000003,13.96980567,1.5542021169999998,21.85858854,0.94012165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
860,2000,-58.75,27.811,96.0,22.628,17.29660075,1.046935028,23.36946228,0.955927565,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
861,2001,-58.75,33.266999999999996,96.0,20.733,0.23002632,1.3077996809999999,25.20618948,0.7197237479999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862,2002,-58.75,33.84,96.0,22.022,7.2303804000000005,1.142907613,22.61395818,0.788701865,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
863,2003,-58.75,35.259,96.0,21.807,1.4282244,1.090809896,15.155041500000001,0.690720977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
864,2004,-58.75,35.875,96.0,22.64,0.267791652,1.108327427,17.750811600000002,0.590196456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
865,2005,-58.75,36.504,96.0,26.24,0.1270296,1.4475328509999998,8.924679072,0.427871283,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
866,2006,-58.75,39.971,96.0,25.715999999999998,0.0,1.817922707,21.152814300000003,0.317236197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
867,2007,-58.75,35.561,96.0,22.929000000000002,1.8470774159999999,1.534605424,27.17594568,0.6256253820000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
868,2008,-58.75,27.415,96.0,23.476999999999997,16.10527759,0.9955184140000001,17.10691886,0.9531243429999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
869,2009,-58.75,34.921,96.0,23.744,0.08239748400000001,1.012935875,19.56509784,0.620380652,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
870,2010,-58.75,32.921,96.0,22.401999999999997,6.99348605,1.414151149,26.05325177,0.863267927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
871,2011,-58.75,30.733,96.0,22.566,0.659179512,1.329195312,12.542516099999999,0.829179199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
872,2012,-58.75,31.238000000000003,96.0,23.86,7.48958688,1.643966796,27.083142,0.827474963,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
873,2013,-58.75,27.608,96.0,20.715,4.566193956,0.785765354,20.50824798,0.943803532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
874,2014,-58.75,28.421,96.0,22.69,8.837130024,0.844891763,14.33862612,0.9402212459999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
875,2015,-58.75,33.181999999999995,96.0,21.479,0.226593,1.329088904,21.00802716,0.658392734,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
876,2016,-58.75,36.506,96.0,21.25,0.0,1.4737972369999999,26.67650724,0.475837036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
877,2017,-58.75,36.051,96.0,20.06,0.0,1.158879391,22.86551808,0.5200645770000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
878,1998,-58.75,39.542,96.0,25.649,0.0,1.200867553,20.42476218,0.485266443,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
879,1999,-58.75,33.443000000000005,96.0,22.42,2.8221138,0.863564894,15.81710796,0.8017665209999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
880,2000,-58.75,37.531,96.0,21.584,0.0,1.5080301269999998,23.67383202,0.515698846,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
881,2001,-58.75,32.717,96.0,22.166,1.452255703,1.258392355,18.7421031,0.8051481629999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
882,2002,-58.75,35.403,96.0,22.878,8.337596731,1.4862410119999998,12.28251859,0.82147536,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
883,2003,-58.75,29.886999999999997,96.0,21.638,1.263427992,1.3809576590000001,14.57819856,0.8409523609999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
884,2004,-58.75,27.788,96.0,23.238000000000003,23.31333576,1.181429615,24.7796937,0.9627204140000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
885,2005,-58.75,27.134,96.0,23.336,11.11507736,0.632187133,11.47848804,0.9645246690000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
886,2006,-58.75,30.836,96.0,19.977999999999998,0.485802014,1.2165462059999999,15.97798188,0.825235277,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
887,2007,-58.75,33.705999999999996,96.0,20.122,0.11672964,1.108790779,22.05230472,0.7283507229999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
888,2008,-58.75,34.649,96.0,23.144000000000002,0.0,0.929435453,21.50027046,0.568320759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
889,2009,-58.75,37.004,96.0,22.225,2.04105492,0.7685429220000001,19.30797979,0.712743945,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
890,2010,-58.75,36.597,96.0,24.949,0.204277176,0.673865353,16.35165583,0.58219069,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
891,2011,-58.75,36.074,96.0,21.965,3.204915386,1.436968983,17.72134272,0.628939383,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
892,2012,-58.75,41.181000000000004,96.0,26.068,0.010299679,1.058965567,21.36864114,0.409841584,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
893,2013,-58.75,30.044,96.0,22.974,14.028168599999999,0.868301667,10.95671419,0.9246131120000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
894,2014,-58.75,27.496,96.0,23.471999999999998,18.36433872,0.6937562909999999,16.7244237,0.960527349,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
895,2015,-58.75,28.109,96.0,23.704,3.759383606,0.952564772,8.02929222,0.9481973340000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
896,2016,-58.75,30.505,96.0,23.967,5.8296238129999995,0.997614078,18.4230513,0.897784733,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
897,2017,-58.75,26.788,96.0,22.651999999999997,17.28286596,0.855205123,16.31913498,0.966998792,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
898,1998,-58.75,30.283,96.0,20.8,5.45368518,1.087741437,20.7924732,0.8934229290000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
899,1999,-58.75,33.207,96.0,22.406999999999996,0.0,1.71145129,24.16291452,0.702111842,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2000,-58.75,36.181,96.0,23.756,0.0,1.0904398929999999,18.41641398,0.5877704029999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
901,2001,-58.75,37.311,96.0,20.023,0.08583073199999999,1.368912855,21.07467756,0.573061719,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
902,2002,-58.75,39.144,96.0,25.087,0.006866453000000001,1.5055335019999998,24.92003934,0.42690752,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
903,2003,-58.75,35.97,96.0,22.199,0.271224936,1.106149763,16.32149676,0.7196658909999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
904,2004,-58.75,25.666999999999998,96.0,21.928,101.208146,1.418364621,4.56856614,0.961672163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
905,2005,-58.75,26.444000000000003,96.0,23.283,36.75270211,0.8681413509999999,14.4672696,0.972226413,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
906,2006,-58.75,32.426,96.0,23.641,7.587436607999999,1.4478703469999998,23.270112899999997,0.864569138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
907,2007,-58.75,28.441999999999997,96.0,23.092,15.2272188,1.262314839,17.14224672,0.950487467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
908,2008,-58.75,27.607,96.0,22.921,25.70116838,1.033024048,10.6966134,0.949974656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
909,2009,-58.75,28.807,96.0,23.146,11.66439608,0.9253552859999999,23.45861016,0.943584091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
910,2010,-58.75,29.55,96.0,21.396,9.641360916,0.497493047,17.6729643,0.927435802,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
911,2011,-58.75,32.909,96.0,21.896,0.0,0.7812906009999999,14.172074100000001,0.671044292,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
912,2012,-58.75,34.701,96.0,21.384,0.21972672,1.159301447,17.2843947,0.687334068,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
913,2013,-58.75,31.675,96.0,22.04,6.473349065,1.113886315,26.244165600000002,0.807859832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
914,2014,-58.75,34.334,96.0,20.555,0.25491744,1.057190712,11.30197725,0.6804919629999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
915,2015,-58.75,35.799,96.0,22.125,0.0,1.288321698,19.27878336,0.657317745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
916,2016,-58.75,30.644000000000002,96.0,21.261999999999997,1.354408466,1.209756705,12.00031506,0.865308382,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
917,2017,-58.75,35.239000000000004,96.0,22.971999999999998,9.278299044,1.369753107,18.20463174,0.7355466759999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
918,1998,-58.75,33.166,96.0,23.554000000000002,2.439307958,1.085696673,14.00647642,0.760366126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
919,1999,-58.75,36.397,96.0,22.658,0.83427408,1.7554184080000002,27.34503977,0.575818199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
920,2000,-58.75,29.47,96.0,23.941999999999997,4.35505068,1.5188212280000002,17.92974571,0.889841025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
921,2001,-58.75,28.174,96.0,23.116,16.44215652,1.1845236270000001,21.09532104,0.955589548,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
922,2002,-58.75,31.521,96.0,21.601999999999997,1.4076232340000001,0.9802839729999999,19.86417684,0.8349369590000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
923,2003,-58.75,30.948,96.0,20.384,5.839918056,0.8521630579999999,23.80179636,0.9218345170000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
924,2004,-58.75,33.491,96.0,22.91,1.8299134080000001,1.116850515,21.17283696,0.741909162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
925,2005,-58.75,34.965,96.0,20.935,3.00665016,1.005259766,21.71880468,0.745611185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
926,2006,-58.75,38.705,96.0,23.684,0.0,1.189858868,17.77640436,0.480586846,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
927,2007,-58.75,36.353,96.0,23.573,5.19446646,1.381655733,28.0439973,0.675928601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
928,2008,-58.75,35.03,96.0,23.936,0.575065548,1.3532957419999998,18.01524132,0.605128028,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
929,2009,-58.75,32.506,96.0,23.014,3.8572344,1.204122278,17.65198242,0.751708319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
930,2010,-58.75,30.491999999999997,96.0,22.928,1.7303465519999999,1.142103933,17.76273282,0.856125008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
931,2011,-58.75,28.695,96.0,22.604,4.48637292,1.128266378,13.38744845,0.910869445,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
932,2012,-58.75,27.03,96.0,21.252,7.333379323,0.925579177,10.75050324,0.9538346109999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
933,2013,-58.75,28.479,96.0,20.439,5.499173232,0.9207945409999999,17.40684168,0.925798624,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
934,2014,-58.75,25.015,96.0,22.122,42.83636868,0.727605985,5.59198476,0.978759265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
935,2015,-58.75,26.288,96.0,21.410999999999998,5.160143772,0.808271588,6.57269874,0.953195893,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
936,2016,-58.75,33.411,96.0,20.493000000000002,0.0,1.162975698,24.34342464,0.708960831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
937,2017,-58.75,34.427,96.0,22.732,0.09613044,1.03739126,25.08974633,0.693817315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
938,1998,-58.75,37.175,96.0,21.923000000000002,2.76718212,1.539266789,20.55076596,0.579303447,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
939,1999,-58.75,29.772,96.0,23.002,13.97839234,0.69701493,21.51944694,0.920467578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
940,2000,-58.75,26.37,96.0,22.092,21.59498873,1.250312283,9.64985778,0.947525127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
941,2001,-58.75,29.458000000000002,96.0,22.514,10.60523971,0.83804364,23.2363206,0.90801149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
942,2002,-58.75,28.769000000000002,96.0,22.46,59.4927036,0.926300247,12.17829499,0.916076432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
943,2003,-58.75,27.651,96.0,22.956999999999997,7.093055088,0.93413621,10.87706286,0.96070143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
944,2004,-58.75,25.851999999999997,96.0,22.273000000000003,26.20239221,0.8713657509999999,4.33519092,0.971573798,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
945,2005,-58.75,32.411,96.0,22.296999999999997,1.301192964,1.513505345,27.13758732,0.7871206559999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
946,2006,-58.75,28.484,96.0,23.427,43.6328865,0.814784211,19.6909857,0.953119708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
947,2007,-58.75,28.558000000000003,96.0,22.451,4.348181772,0.6985475,12.33437868,0.92561197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
948,2008,-58.75,30.398000000000003,96.0,21.765,0.8514402120000001,1.284695886,17.20192068,0.8370399190000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
949,2009,-58.75,34.951,96.0,23.568,0.0,1.466943911,12.78027835,0.5902576039999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
950,2010,-58.75,37.832,96.0,22.505,0.0,1.8173841640000001,28.20290544,0.425905012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
951,2011,-58.75,39.914,96.0,17.406,0.0,1.146878373,19.7162388,0.454447744,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
952,2012,-58.75,37.626,96.0,24.151999999999997,0.0,1.181585231,17.25497273,0.545769336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
953,2013,-58.75,34.897,96.0,25.739,2.37579552,1.7863682840000001,25.127326800000002,0.537078638,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
954,2014,-58.75,29.691,96.0,22.307,2.7036648,1.6102217909999998,17.69535108,0.812665045,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
955,2015,-58.75,29.592,96.0,24.169,8.74958292,1.504309238,17.55286758,0.930865962,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
956,2016,-58.75,35.793,96.0,22.774,2.2384652330000003,1.222353408,19.88009885,0.772754073,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
957,1998,-58.75,26.715999999999998,96.0,23.26,13.82217624,0.715449291,3.048134868,0.970055115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
958,1999,-58.75,27.284000000000002,96.0,22.016,12.34931818,0.571346476,7.36323696,0.9637974490000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
959,2000,-58.75,29.478,96.0,21.943,3.084755112,0.8928455809999999,16.15893977,0.897702715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
960,2001,-58.75,31.465,96.0,22.267,3.809167848,0.9410024490000001,16.72729063,0.8887821090000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
961,2002,-58.75,34.327,96.0,21.326999999999998,4.5524592,0.794198293,21.6306576,0.783238248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
962,2003,-58.75,36.548,96.0,20.788,0.0,1.6403191959999999,25.3586304,0.535602989,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
963,2004,-58.75,39.815,96.0,23.94,0.0,1.513541651,26.09550621,0.468058801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
964,2005,-58.75,36.619,96.0,22.65,5.251122806000001,1.27560697,22.61311902,0.72450469,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
965,2006,-58.75,33.338,96.0,22.908,2.97660672,1.495849895,26.33011938,0.7951272079999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
966,2007,-58.75,33.735,96.0,20.939,0.19226052,1.348284483,26.83838952,0.7458093790000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
967,2008,-58.75,30.206999999999997,96.0,22.283,3.975675948,1.170446302,19.75641798,0.891766264,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
968,2009,-58.75,26.506,96.0,21.685,24.96128148,0.821178425,17.28032733,0.9668894929999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
969,2010,-58.75,27.031,96.0,22.182,14.13803593,1.116883302,19.39077281,0.959179837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
970,2011,-58.75,26.928,96.0,22.197,8.078383606000001,0.960531775,8.524605814,0.948516285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
971,2012,-58.75,28.701,96.0,22.265,4.463190504,0.582931057,19.45616384,0.9289859009999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
972,2013,-58.75,29.824,96.0,19.865,8.850861,0.843296906,23.32873102,0.868120736,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
