,Unnamed: 0,Date,Elevation,Latitude,Longitude,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Solar,Wind,state
0,1/6/1998,-41.875,31.669,765.0,-15.4553003311157,17.611,0.0377654904,2.28665571578992,13.89622572,,0.672459247966329,Minas Gerais
1,2/5/1998,-41.875,33.769,765.0,-15.4553003311157,18.05,0.0,2.50990516798788,21.75879555,,0.529552220505882,Minas Gerais
2,3/7/1998,-41.875,28.667,765.0,-15.4553003311157,16.748,0.0,2.7286579534428705,18.32625252,,0.654779995066588,Minas Gerais
3,4/6/1998,-41.875,30.133000000000006,765.0,-15.4553003311157,15.273,0.0720978264,3.24253230989474,21.97631844,,0.66455933427787,Minas Gerais
4,5/6/1998,-41.875,23.284,765.0,-15.4553003311157,16.397000000000002,0.4600528416,3.07949877146384,8.75553336,,0.773597961821937,Minas Gerais
5,6/5/1998,-41.875,24.855,765.0,-15.4553003311157,13.704,0.401687244,2.8856378446365,9.95759622,,0.7382262491773041,Minas Gerais
6,7/5/1998,-41.875,24.382,765.0,-15.4553003311157,13.558,0.1682281224,2.5806507212719803,17.75064402,,0.745971155105415,Minas Gerais
7,8/4/1998,-41.875,24.323,765.0,-15.4553003311157,13.277,1.1157983064,3.35825481256724,15.59030706,,0.783531000839375,Minas Gerais
8,9/3/1998,-41.875,27.07,765.0,-15.4553003311157,14.201,0.660896676,3.28446794320604,15.73931304,,0.7141017032832959,Minas Gerais
9,10/3/1998,-41.875,30.721,765.0,-15.4553003311157,16.590999999999998,0.05836482,3.97539545088014,26.54842428,,0.581171343736001,Minas Gerais
10,11/2/1998,-41.875,30.469,765.0,-15.4553003311157,18.704,8.51268456,1.86709033113767,18.88407522,,0.808038424959394,Minas Gerais
11,12/2/1998,-41.875,25.221,765.0,-15.4553003311157,18.193,3.577422564,1.76248691299034,15.06695994,,0.881553727700917,Minas Gerais
12,1/1/1999,-41.875,31.428,765.0,-15.4553003311157,18.359,0.7930749528000001,2.53549110444268,15.5455884,,0.745356735374068,Minas Gerais
13,1/31/1999,-41.875,30.731,765.0,-15.4553003311157,15.734000000000002,0.0,2.57799662881149,31.291844399999995,,0.627166891541457,Minas Gerais
14,3/2/1999,-41.875,27.069000000000006,765.0,-15.4553003311157,19.54,12.229155504000001,1.50919668901853,15.19149096,,0.9067988932244788,Minas Gerais
15,4/1/1999,-41.875,26.277,765.0,-15.4553003311157,15.261,0.1029967128,2.78046818652725,19.64474892,,0.811702913398491,Minas Gerais
16,5/1/1999,-41.875,19.993,765.0,-15.4553003311157,17.829,1.61361774,2.44201102678473,4.21610058,,0.9156633884372308,Minas Gerais
17,5/31/1999,-41.875,26.58,765.0,-15.4553003311157,13.178,2.25133776,1.6596474755415902,9.15243642,,0.7838376446107541,Minas Gerais
18,6/30/1999,-41.875,26.571,765.0,-15.4553003311157,14.271,0.0669479472,1.64185680264729,14.85765126,,0.723213868642869,Minas Gerais
19,7/30/1999,-41.875,23.371,765.0,-15.4553003311157,14.021,0.2986909704,2.11113039184345,11.90626794,,0.7854328854272931,Minas Gerais
20,8/29/1999,-41.875,26.427,765.0,-15.4553003311157,11.57,0.0,2.60915127810226,20.47111884,,0.677049143531158,Minas Gerais
21,9/28/1999,-41.875,28.514,765.0,-15.4553003311157,14.34,0.0,3.3500922245372404,23.545068911999998,,0.6420717022093371,Minas Gerais
22,10/28/1999,-41.875,20.352,765.0,-15.4553003311157,17.221,4.442598216,2.26629186692256,4.19067738,,0.926955334221152,Minas Gerais
23,11/27/1999,-41.875,27.179,765.0,-15.4553003311157,17.076,6.5128378392,2.24444019490244,27.45871128,,0.872532099570155,Minas Gerais
24,12/27/1999,-41.875,26.047,765.0,-15.4553003311157,14.376,1.3080597552,2.09577770962618,24.146937,,0.86031088009709,Minas Gerais
25,1/26/2000,-41.875,27.16,765.0,-15.4553003311157,16.344,1.5003201168,2.33286605418376,24.56454402,,0.8750547844378359,Minas Gerais
26,2/25/2000,-41.875,28.966,765.0,-15.4553003311157,15.194,0.04806522,1.95684932163683,29.040579431999998,,0.7819122829090391,Minas Gerais
27,3/26/2000,-41.875,27.588,765.0,-15.4553003311157,17.316,0.12702947039999998,2.39636089174322,25.46589132,,0.7923368463849141,Minas Gerais
28,4/25/2000,-41.875,25.021,765.0,-15.4553003311157,14.552,0.314140284,2.80694923528702,23.2482411,,0.7649764519461321,Minas Gerais
29,5/25/2000,-41.875,21.78,765.0,-15.4553003311157,14.745,0.841140468,2.5628500018729,9.72242496,,0.8564980862810301,Minas Gerais
30,6/24/2000,-41.875,22.067,765.0,-15.4553003311157,11.129,0.477218772,2.72223846392944,10.3984308,,0.805164497810924,Minas Gerais
31,7/24/2000,-41.875,29.408,765.0,-15.4553003311157,14.659,0.0205993584,2.57828478520083,19.96571052,,0.689746950830074,Minas Gerais
32,8/23/2000,-41.875,23.144,765.0,-15.4553003311157,14.855,0.4969597248,2.59462565650123,9.679502628,,0.8203247745965059,Minas Gerais
33,9/22/2000,-41.875,28.282,765.0,-15.4553003311157,10.883,0.0,2.59597167378156,28.233386208000002,,0.5668716374540749,Minas Gerais
34,10/22/2000,-41.875,32.86,765.0,-15.4553003311157,16.399,0.0,3.00205555473349,21.92135994,,0.5678117084077479,Minas Gerais
35,11/21/2000,-41.875,29.294,765.0,-15.4553003311157,17.502,0.0,3.0479341312739106,30.6315144,,0.60866854801633,Minas Gerais
36,12/21/2000,-41.875,27.051,765.0,-15.4553003311157,18.953,16.5687484824,1.18178363316554,26.1219924,,0.923474750119091,Minas Gerais
