year,state,month,number,date
2014,Acre,Maio,1,"Wednesday, January 1, 2014"
2015,Acre,Maio,2,"Thursday, January 1, 2015"
2016,Acre,Maio,21,"Friday, January 1, 2016"
2017,Acre,Maio,10,"Sunday, January 1, 2017"
1998,Acre,Junho,3,"Thursday, January 1, 1998"
1999,Acre,Junho,0,"Friday, January 1, 1999"
2000,Acre,Junho,1,"Saturday, January 1, 2000"
2001,Acre,Junho,1,"Monday, January 1, 2001"
2002,Acre,Junho,0,"Tuesday, January 1, 2002"
2003,Acre,Junho,0,"Wednesday, January 1, 2003"
2004,Acre,Junho,5,"Thursday, January 1, 2004"
2005,Acre,Junho,27,"Saturday, January 1, 2005"
2006,Acre,Junho,1,"Sunday, January 1, 2006"
2007,Acre,Junho,4,"Monday, January 1, 2007"
2008,Acre,Junho,0,"Tuesday, January 1, 2008"
2009,Acre,Junho,0,"Thursday, January 1, 2009"
2010,Acre,Junho,1,"Friday, January 1, 2010"
2011,Acre,Junho,10,"Saturday, January 1, 2011"
2012,Acre,Junho,7,"Sunday, January 1, 2012"
2013,Acre,Junho,8,"Tuesday, January 1, 2013"
2014,Acre,Junho,17,"Wednesday, January 1, 2014"
2015,Acre,Junho,40,"Thursday, January 1, 2015"
2016,Acre,Junho,87,"Friday, January 1, 2016"
2017,Acre,Junho,45,"Sunday, January 1, 2017"
1998,Acre,Julho,37,"Thursday, January 1, 1998"
1999,Acre,Julho,1,"Friday, January 1, 1999"
2000,Acre,Julho,1,"Saturday, January 1, 2000"
2001,Acre,Julho,3,"Monday, January 1, 2001"
2002,Acre,Julho,39,"Tuesday, January 1, 2002"
2003,Acre,Julho,168,"Wednesday, January 1, 2003"
2004,Acre,Julho,42,"Thursday, January 1, 2004"
2005,Acre,Julho,368,"Saturday, January 1, 2005"
2006,Acre,Julho,33,"Sunday, January 1, 2006"
2007,Acre,Julho,29,"Monday, January 1, 2007"
2008,Acre,Julho,41,"Tuesday, January 1, 2008"
2009,Acre,Julho,31,"Thursday, January 1, 2009"
2010,Acre,Julho,126,"Friday, January 1, 2010"
2011,Acre,Julho,93,"Saturday, January 1, 2011"
2012,Acre,Julho,71,"Sunday, January 1, 2012"
2013,Acre,Julho,54,"Tuesday, January 1, 2013"
2014,Acre,Julho,60,"Wednesday, January 1, 2014"
2015,Acre,Julho,109,"Thursday, January 1, 2015"
2016,Acre,Julho,533,"Friday, January 1, 2016"
2017,Acre,Julho,457,"Sunday, January 1, 2017"
1998,Acre,Agosto,130,"Thursday, January 1, 1998"
1999,Acre,Agosto,63,"Friday, January 1, 1999"
2000,Acre,Agosto,136,"Saturday, January 1, 2000"
2001,Acre,Agosto,396,"Monday, January 1, 2001"
2002,Acre,Agosto,728,"Tuesday, January 1, 2002"
2003,Acre,Agosto,1.976,"Wednesday, January 1, 2003"
2004,Acre,Agosto,645,"Thursday, January 1, 2004"
2005,Acre,Agosto,4.198,"Saturday, January 1, 2005"
2006,Acre,Agosto,839,"Sunday, January 1, 2006"
2007,Acre,Agosto,960,"Monday, January 1, 2007"
2008,Acre,Agosto,445,"Tuesday, January 1, 2008"
2009,Acre,Agosto,194,"Thursday, January 1, 2009"
2010,Acre,Agosto,1.682,"Friday, January 1, 2010"
2011,Acre,Agosto,425,"Saturday, January 1, 2011"
2012,Acre,Agosto,739,"Sunday, January 1, 2012"
2013,Acre,Agosto,679,"Tuesday, January 1, 2013"
2014,Acre,Agosto,1.1,"Wednesday, January 1, 2014"
2015,Acre,Agosto,1.397,"Thursday, January 1, 2015"
2016,Acre,Agosto,2.188,"Friday, January 1, 2016"
2017,Acre,Agosto,1.493,"Sunday, January 1, 2017"
1998,Acre,Setembro,509,"Thursday, January 1, 1998"
1999,Acre,Setembro,209,"Friday, January 1, 1999"
2000,Acre,Setembro,265,"Saturday, January 1, 2000"
2001,Acre,Setembro,290,"Monday, January 1, 2001"
2002,Acre,Setembro,1.949,"Tuesday, January 1, 2002"
2003,Acre,Setembro,3.942,"Wednesday, January 1, 2003"
2004,Acre,Setembro,1.978,"Thursday, January 1, 2004"
2005,Acre,Setembro,4.253,"Saturday, January 1, 2005"
2006,Acre,Setembro,2.37,"Sunday, January 1, 2006"
2007,Acre,Setembro,2.08,"Monday, January 1, 2007"
2008,Acre,Setembro,1.666,"Tuesday, January 1, 2008"
2009,Acre,Setembro,1.265,"Thursday, January 1, 2009"
2010,Acre,Setembro,2.531,"Friday, January 1, 2010"
2011,Acre,Setembro,1.204,"Saturday, January 1, 2011"
2012,Acre,Setembro,1.996,"Sunday, January 1, 2012"
2013,Acre,Setembro,2.136,"Tuesday, January 1, 2013"
2014,Acre,Setembro,2.175,"Wednesday, January 1, 2014"
2015,Acre,Setembro,2.928,"Thursday, January 1, 2015"
2016,Acre,Setembro,3.586,"Friday, January 1, 2016"
2017,Acre,Setembro,3.429,"Sunday, January 1, 2017"
1998,Acre,Outubro,44,"Thursday, January 1, 1998"
1999,Acre,Outubro,60,"Friday, January 1, 1999"
2000,Acre,Outubro,18,"Saturday, January 1, 2000"
2001,Acre,Outubro,137,"Monday, January 1, 2001"
2002,Acre,Outubro,687,"Tuesday, January 1, 2002"
2003,Acre,Outubro,740,"Wednesday, January 1, 2003"
2004,Acre,Outubro,461,"Thursday, January 1, 2004"
2005,Acre,Outubro,547,"Saturday, January 1, 2005"
2006,Acre,Outubro,316,"Sunday, January 1, 2006"
2007,Acre,Outubro,203,"Monday, January 1, 2007"
2008,Acre,Outubro,652,"Tuesday, January 1, 2008"
2009,Acre,Outubro,565,"Thursday, January 1, 2009"
2010,Acre,Outubro,292,"Friday, January 1, 2010"
2011,Acre,Outubro,97,"Saturday, January 1, 2011"
2012,Acre,Outubro,348,"Sunday, January 1, 2012"
2013,Acre,Outubro,258,"Tuesday, January 1, 2013"
2014,Acre,Outubro,406,"Wednesday, January 1, 2014"
2015,Acre,Outubro,905,"Thursday, January 1, 2015"
2016,Acre,Outubro,509,"Friday, January 1, 2016"
2017,Acre,Outubro,1.508,"Sunday, January 1, 2017"
1998,Acre,Novembro,0,"Thursday, January 1, 1998"
1999,Acre,Novembro,0,"Friday, January 1, 1999"
2000,Acre,Novembro,0,"Saturday, January 1, 2000"
2001,Acre,Novembro,1,"Monday, January 1, 2001"
2002,Acre,Novembro,86,"Tuesday, January 1, 2002"
2003,Acre,Novembro,15,"Wednesday, January 1, 2003"
2004,Acre,Novembro,10,"Thursday, January 1, 2004"
2005,Acre,Novembro,14,"Saturday, January 1, 2005"
2006,Acre,Novembro,18,"Sunday, January 1, 2006"
2007,Acre,Novembro,7,"Monday, January 1, 2007"
2008,Acre,Novembro,4,"Tuesday, January 1, 2008"
2009,Acre,Novembro,33,"Thursday, January 1, 2009"
2010,Acre,Novembro,39,"Friday, January 1, 2010"
2011,Acre,Novembro,74,"Saturday, January 1, 2011"
2012,Acre,Novembro,13,"Sunday, January 1, 2012"
2013,Acre,Novembro,79,"Tuesday, January 1, 2013"
2014,Acre,Novembro,56,"Wednesday, January 1, 2014"
2015,Acre,Novembro,115,"Thursday, January 1, 2015"
2016,Acre,Novembro,46,"Friday, January 1, 2016"
2017,Acre,Novembro,98,"Sunday, January 1, 2017"
1998,Acre,Dezembro,7,"Thursday, January 1, 1998"
1999,Acre,Dezembro,0,"Friday, January 1, 1999"
2000,Acre,Dezembro,0,"Saturday, January 1, 2000"
2001,Acre,Dezembro,0,"Monday, January 1, 2001"
2002,Acre,Dezembro,1,"Tuesday, January 1, 2002"
2003,Acre,Dezembro,1,"Wednesday, January 1, 2003"
2004,Acre,Dezembro,7,"Thursday, January 1, 2004"
2005,Acre,Dezembro,2,"Saturday, January 1, 2005"
2006,Acre,Dezembro,0,"Sunday, January 1, 2006"
2007,Acre,Dezembro,0,"Monday, January 1, 2007"
2008,Acre,Dezembro,0,"Tuesday, January 1, 2008"
2009,Acre,Dezembro,1,"Thursday, January 1, 2009"
2010,Acre,Dezembro,0,"Friday, January 1, 2010"
2011,Acre,Dezembro,4,"Saturday, January 1, 2011"
2012,Acre,Dezembro,1,"Sunday, January 1, 2012"
2013,Acre,Dezembro,3,"Tuesday, January 1, 2013"
2014,Acre,Dezembro,6,"Wednesday, January 1, 2014"
2015,Acre,Dezembro,8,"Thursday, January 1, 2015"
2016,Acre,Dezembro,6,"Friday, January 1, 2016"
1998,Alagoas,Janeiro,0,"Thursday, January 1, 1998"
1999,Alagoas,Janeiro,58,"Friday, January 1, 1999"
2000,Alagoas,Janeiro,11,"Saturday, January 1, 2000"
2001,Alagoas,Janeiro,5,"Monday, January 1, 2001"
2002,Alagoas,Janeiro,12,"Tuesday, January 1, 2002"
2003,Alagoas,Janeiro,150,"Wednesday, January 1, 2003"
2004,Alagoas,Janeiro,9,"Thursday, January 1, 2004"
2005,Alagoas,Janeiro,83,"Saturday, January 1, 2005"
2006,Alagoas,Janeiro,29,"Sunday, January 1, 2006"
2007,Alagoas,Janeiro,33,"Monday, January 1, 2007"
2008,Alagoas,Janeiro,55,"Tuesday, January 1, 2008"
2009,Alagoas,Janeiro,104,"Thursday, January 1, 2009"
2010,Alagoas,Janeiro,23,"Friday, January 1, 2010"
2011,Alagoas,Janeiro,41,"Saturday, January 1, 2011"
2012,Alagoas,Janeiro,36,"Sunday, January 1, 2012"
2013,Alagoas,Janeiro,49,"Tuesday, January 1, 2013"
