year,state,month,number,date
2002,Espirito Santo,Março,4,"Tuesday, January 1, 2002"
2003,Espirito Santo,Março,28,"Wednesday, January 1, 2003"
2004,Espirito Santo,Março,3,"Thursday, January 1, 2004"
2005,Espirito Santo,Março,3,"Saturday, January 1, 2005"
2006,Espirito Santo,Março,14,"Sunday, January 1, 2006"
2007,Espirito Santo,Março,9,"Monday, January 1, 2007"
2008,Espirito Santo,Março,5,"Tuesday, January 1, 2008"
2009,Espirito Santo,Março,11,"Thursday, January 1, 2009"
2010,Espirito Santo,Março,3,"Friday, January 1, 2010"
2011,Espirito Santo,Março,5,"Saturday, January 1, 2011"
2012,Espirito Santo,Março,35,"Sunday, January 1, 2012"
2013,Espirito Santo,Março,13,"Tuesday, January 1, 2013"
2014,Espirito Santo,Março,15,"Wednesday, January 1, 2014"
2015,Espirito Santo,Março,25,"Thursday, January 1, 2015"
2016,Espirito Santo,Março,107,"Friday, January 1, 2016"
2017,Espirito Santo,Março,9,"Sunday, January 1, 2017"
1998,Espirito Santo,Abril,0,"Thursday, January 1, 1998"
1999,Espirito Santo,Abril,2,"Friday, January 1, 1999"
2000,Espirito Santo,Abril,3,"Saturday, January 1, 2000"
2001,Espirito Santo,Abril,2,"Monday, January 1, 2001"
2002,Espirito Santo,Abril,2,"Tuesday, January 1, 2002"
2003,Espirito Santo,Abril,22,"Wednesday, January 1, 2003"
2004,Espirito Santo,Abril,0,"Thursday, January 1, 2004"
2005,Espirito Santo,Abril,4,"Saturday, January 1, 2005"
2006,Espirito Santo,Abril,1,"Sunday, January 1, 2006"
2007,Espirito Santo,Abril,2,"Monday, January 1, 2007"
2008,Espirito Santo,Abril,8,"Tuesday, January 1, 2008"
2009,Espirito Santo,Abril,8,"Thursday, January 1, 2009"
2010,Espirito Santo,Abril,7,"Friday, January 1, 2010"
2011,Espirito Santo,Abril,3,"Saturday, January 1, 2011"
2012,Espirito Santo,Abril,74,"Sunday, January 1, 2012"
2013,Espirito Santo,Abril,16,"Tuesday, January 1, 2013"
2014,Espirito Santo,Abril,15,"Wednesday, January 1, 2014"
2015,Espirito Santo,Abril,33,"Thursday, January 1, 2015"
2016,Espirito Santo,Abril,57,"Friday, January 1, 2016"
2017,Espirito Santo,Abril,7,"Sunday, January 1, 2017"
1998,Espirito Santo,Maio,0,"Thursday, January 1, 1998"
1999,Espirito Santo,Maio,16,"Friday, January 1, 1999"
2000,Espirito Santo,Maio,2,"Saturday, January 1, 2000"
2001,Espirito Santo,Maio,8,"Monday, January 1, 2001"
2002,Espirito Santo,Maio,5,"Tuesday, January 1, 2002"
2003,Espirito Santo,Maio,1,"Wednesday, January 1, 2003"
2004,Espirito Santo,Maio,0,"Thursday, January 1, 2004"
2005,Espirito Santo,Maio,5,"Saturday, January 1, 2005"
2006,Espirito Santo,Maio,0,"Sunday, January 1, 2006"
2007,Espirito Santo,Maio,1,"Monday, January 1, 2007"
2008,Espirito Santo,Maio,2,"Tuesday, January 1, 2008"
2009,Espirito Santo,Maio,7,"Thursday, January 1, 2009"
2010,Espirito Santo,Maio,3,"Friday, January 1, 2010"
2011,Espirito Santo,Maio,2,"Saturday, January 1, 2011"
2012,Espirito Santo,Maio,20,"Sunday, January 1, 2012"
2013,Espirito Santo,Maio,14,"Tuesday, January 1, 2013"
2014,Espirito Santo,Maio,18,"Wednesday, January 1, 2014"
2015,Espirito Santo,Maio,17,"Thursday, January 1, 2015"
2016,Espirito Santo,Maio,48,"Friday, January 1, 2016"
2017,Espirito Santo,Maio,10,"Sunday, January 1, 2017"
1998,Espirito Santo,Junho,6,"Thursday, January 1, 1998"
1999,Espirito Santo,Junho,6,"Friday, January 1, 1999"
2000,Espirito Santo,Junho,9,"Saturday, January 1, 2000"
2001,Espirito Santo,Junho,9,"Monday, January 1, 2001"
2002,Espirito Santo,Junho,18,"Tuesday, January 1, 2002"
2003,Espirito Santo,Junho,19,"Wednesday, January 1, 2003"
2004,Espirito Santo,Junho,3,"Thursday, January 1, 2004"
2005,Espirito Santo,Junho,8,"Saturday, January 1, 2005"
2006,Espirito Santo,Junho,5,"Sunday, January 1, 2006"
2007,Espirito Santo,Junho,4,"Monday, January 1, 2007"
2008,Espirito Santo,Junho,4,"Tuesday, January 1, 2008"
2009,Espirito Santo,Junho,12,"Thursday, January 1, 2009"
2010,Espirito Santo,Junho,3,"Friday, January 1, 2010"
2011,Espirito Santo,Junho,7,"Saturday, January 1, 2011"
2012,Espirito Santo,Junho,15,"Sunday, January 1, 2012"
2013,Espirito Santo,Junho,22,"Tuesday, January 1, 2013"
2014,Espirito Santo,Junho,9,"Wednesday, January 1, 2014"
2015,Espirito Santo,Junho,18,"Thursday, January 1, 2015"
2016,Espirito Santo,Junho,49,"Friday, January 1, 2016"
2017,Espirito Santo,Junho,37,"Sunday, January 1, 2017"
1998,Espirito Santo,Julho,37,"Thursday, January 1, 1998"
1999,Espirito Santo,Julho,9,"Friday, January 1, 1999"
2000,Espirito Santo,Julho,16,"Saturday, January 1, 2000"
2001,Espirito Santo,Julho,12,"Monday, January 1, 2001"
2002,Espirito Santo,Julho,9,"Tuesday, January 1, 2002"
2003,Espirito Santo,Julho,27,"Wednesday, January 1, 2003"
2004,Espirito Santo,Julho,4,"Thursday, January 1, 2004"
2005,Espirito Santo,Julho,9,"Saturday, January 1, 2005"
2006,Espirito Santo,Julho,11,"Sunday, January 1, 2006"
2007,Espirito Santo,Julho,13,"Monday, January 1, 2007"
2008,Espirito Santo,Julho,5,"Tuesday, January 1, 2008"
2009,Espirito Santo,Julho,25,"Thursday, January 1, 2009"
2010,Espirito Santo,Julho,5,"Friday, January 1, 2010"
2011,Espirito Santo,Julho,18,"Saturday, January 1, 2011"
2012,Espirito Santo,Julho,35,"Sunday, January 1, 2012"
2013,Espirito Santo,Julho,20,"Tuesday, January 1, 2013"
2014,Espirito Santo,Julho,17,"Wednesday, January 1, 2014"
2015,Espirito Santo,Julho,30,"Thursday, January 1, 2015"
2016,Espirito Santo,Julho,42,"Friday, January 1, 2016"
2017,Espirito Santo,Julho,3,"Sunday, January 1, 2017"
1998,Espirito Santo,Agosto,38,"Thursday, January 1, 1998"
1999,Espirito Santo,Agosto,60,"Friday, January 1, 1999"
2000,Espirito Santo,Agosto,26,"Saturday, January 1, 2000"
2001,Espirito Santo,Agosto,30,"Monday, January 1, 2001"
2002,Espirito Santo,Agosto,60,"Tuesday, January 1, 2002"
2003,Espirito Santo,Agosto,118,"Wednesday, January 1, 2003"
2004,Espirito Santo,Agosto,12,"Thursday, January 1, 2004"
2005,Espirito Santo,Agosto,12,"Saturday, January 1, 2005"
2006,Espirito Santo,Agosto,29,"Sunday, January 1, 2006"
2007,Espirito Santo,Agosto,82,"Monday, January 1, 2007"
2008,Espirito Santo,Agosto,13,"Tuesday, January 1, 2008"
2009,Espirito Santo,Agosto,17,"Thursday, January 1, 2009"
2010,Espirito Santo,Agosto,39,"Friday, January 1, 2010"
2011,Espirito Santo,Agosto,93,"Saturday, January 1, 2011"
2012,Espirito Santo,Agosto,12,"Sunday, January 1, 2012"
2013,Espirito Santo,Agosto,53,"Tuesday, January 1, 2013"
2014,Espirito Santo,Agosto,47,"Wednesday, January 1, 2014"
2015,Espirito Santo,Agosto,35,"Thursday, January 1, 2015"
2016,Espirito Santo,Agosto,78,"Friday, January 1, 2016"
2017,Espirito Santo,Agosto,30,"Sunday, January 1, 2017"
1998,Espirito Santo,Setembro,108,"Thursday, January 1, 1998"
1999,Espirito Santo,Setembro,64,"Friday, January 1, 1999"
2000,Espirito Santo,Setembro,14,"Saturday, January 1, 2000"
2001,Espirito Santo,Setembro,38,"Monday, January 1, 2001"
2002,Espirito Santo,Setembro,46,"Tuesday, January 1, 2002"
2003,Espirito Santo,Setembro,252,"Wednesday, January 1, 2003"
2004,Espirito Santo,Setembro,47,"Thursday, January 1, 2004"
2005,Espirito Santo,Setembro,8,"Saturday, January 1, 2005"
2006,Espirito Santo,Setembro,87,"Sunday, January 1, 2006"
2007,Espirito Santo,Setembro,63,"Monday, January 1, 2007"
2008,Espirito Santo,Setembro,78,"Tuesday, January 1, 2008"
2009,Espirito Santo,Setembro,57,"Thursday, January 1, 2009"
2010,Espirito Santo,Setembro,53,"Friday, January 1, 2010"
2011,Espirito Santo,Setembro,108,"Saturday, January 1, 2011"
2012,Espirito Santo,Setembro,48,"Sunday, January 1, 2012"
2013,Espirito Santo,Setembro,30,"Tuesday, January 1, 2013"
2014,Espirito Santo,Setembro,61,"Wednesday, January 1, 2014"
2015,Espirito Santo,Setembro,228,"Thursday, January 1, 2015"
2016,Espirito Santo,Setembro,128,"Friday, January 1, 2016"
2017,Espirito Santo,Setembro,58,"Sunday, January 1, 2017"
1998,Espirito Santo,Outubro,20,"Thursday, January 1, 1998"
1999,Espirito Santo,Outubro,23,"Friday, January 1, 1999"
2000,Espirito Santo,Outubro,88,"Saturday, January 1, 2000"
2001,Espirito Santo,Outubro,19,"Monday, January 1, 2001"
2002,Espirito Santo,Outubro,113,"Tuesday, January 1, 2002"
2003,Espirito Santo,Outubro,159,"Wednesday, January 1, 2003"
2004,Espirito Santo,Outubro,48,"Thursday, January 1, 2004"
2005,Espirito Santo,Outubro,62,"Saturday, January 1, 2005"
2006,Espirito Santo,Outubro,10,"Sunday, January 1, 2006"
2007,Espirito Santo,Outubro,79,"Monday, January 1, 2007"
2008,Espirito Santo,Outubro,100,"Tuesday, January 1, 2008"
2009,Espirito Santo,Outubro,13,"Thursday, January 1, 2009"
2010,Espirito Santo,Outubro,32,"Friday, January 1, 2010"
2011,Espirito Santo,Outubro,38,"Saturday, January 1, 2011"
2012,Espirito Santo,Outubro,62,"Sunday, January 1, 2012"
2013,Espirito Santo,Outubro,37,"Tuesday, January 1, 2013"
2014,Espirito Santo,Outubro,89,"Wednesday, January 1, 2014"
2015,Espirito Santo,Outubro,307,"Thursday, January 1, 2015"
2016,Espirito Santo,Outubro,58,"Friday, January 1, 2016"
2017,Espirito Santo,Outubro,56,"Sunday, January 1, 2017"
1998,Espirito Santo,Novembro,4,"Thursday, January 1, 1998"
1999,Espirito Santo,Novembro,9,"Friday, January 1, 1999"
2000,Espirito Santo,Novembro,3,"Saturday, January 1, 2000"
2001,Espirito Santo,Novembro,3,"Monday, January 1, 2001"
2002,Espirito Santo,Novembro,22,"Tuesday, January 1, 2002"
2003,Espirito Santo,Novembro,49,"Wednesday, January 1, 2003"
2004,Espirito Santo,Novembro,42,"Thursday, January 1, 2004"
2005,Espirito Santo,Novembro,0,"Saturday, January 1, 2005"
2006,Espirito Santo,Novembro,0,"Sunday, January 1, 2006"
2007,Espirito Santo,Novembro,112,"Monday, January 1, 2007"
2008,Espirito Santo,Novembro,3,"Tuesday, January 1, 2008"
2009,Espirito Santo,Novembro,18,"Thursday, January 1, 2009"
2010,Espirito Santo,Novembro,3,"Friday, January 1, 2010"
2011,Espirito Santo,Novembro,6,"Saturday, January 1, 2011"
2012,Espirito Santo,Novembro,7,"Sunday, January 1, 2012"
2013,Espirito Santo,Novembro,11,"Tuesday, January 1, 2013"
2014,Espirito Santo,Novembro,20,"Wednesday, January 1, 2014"
2015,Espirito Santo,Novembro,141,"Thursday, January 1, 2015"
2016,Espirito Santo,Novembro,8,"Friday, January 1, 2016"
2017,Espirito Santo,Novembro,3,"Sunday, January 1, 2017"
1998,Espirito Santo,Dezembro,5,"Thursday, January 1, 1998"
1999,Espirito Santo,Dezembro,0,"Friday, January 1, 1999"
2000,Espirito Santo,Dezembro,3,"Saturday, January 1, 2000"
2001,Espirito Santo,Dezembro,1,"Monday, January 1, 2001"
2002,Espirito Santo,Dezembro,12,"Tuesday, January 1, 2002"
2003,Espirito Santo,Dezembro,18,"Wednesday, January 1, 2003"
2004,Espirito Santo,Dezembro,9,"Thursday, January 1, 2004"
2005,Espirito Santo,Dezembro,5,"Saturday, January 1, 2005"
2006,Espirito Santo,Dezembro,0,"Sunday, January 1, 2006"
2007,Espirito Santo,Dezembro,14,"Monday, January 1, 2007"
2008,Espirito Santo,Dezembro,1,"Tuesday, January 1, 2008"
2009,Espirito Santo,Dezembro,32,"Thursday, January 1, 2009"
2010,Espirito Santo,Dezembro,10,"Friday, January 1, 2010"
2011,Espirito Santo,Dezembro,1,"Saturday, January 1, 2011"
2012,Espirito Santo,Dezembro,18,"Sunday, January 1, 2012"
2013,Espirito Santo,Dezembro,9,"Tuesday, January 1, 2013"
2014,Espirito Santo,Dezembro,28,"Wednesday, January 1, 2014"
2015,Espirito Santo,Dezembro,61,"Thursday, January 1, 2015"
2016,Espirito Santo,Dezembro,12,"Friday, January 1, 2016"
1998,Goias,Janeiro,0,"Thursday, January 1, 1998"
1999,Goias,Janeiro,14,"Friday, January 1, 1999"
2000,Goias,Janeiro,10,"Saturday, January 1, 2000"
2001,Goias,Janeiro,29,"Monday, January 1, 2001"
2002,Goias,Janeiro,12,"Tuesday, January 1, 2002"
2003,Goias,Janeiro,14,"Wednesday, January 1, 2003"
2004,Goias,Janeiro,10,"Thursday, January 1, 2004"
2005,Goias,Janeiro,27,"Saturday, January 1, 2005"
2006,Goias,Janeiro,85,"Sunday, January 1, 2006"
2007,Goias,Janeiro,28,"Monday, January 1, 2007"
2008,Goias,Janeiro,23,"Tuesday, January 1, 2008"
2009,Goias,Janeiro,30,"Thursday, January 1, 2009"
2010,Goias,Janeiro,59,"Friday, January 1, 2010"
2011,Goias,Janeiro,39,"Saturday, January 1, 2011"
2012,Goias,Janeiro,21,"Sunday, January 1, 2012"
2013,Goias,Janeiro,33,"Tuesday, January 1, 2013"
2014,Goias,Janeiro,80,"Wednesday, January 1, 2014"
2015,Goias,Janeiro,118,"Thursday, January 1, 2015"
2016,Goias,Janeiro,52,"Friday, January 1, 2016"
2017,Goias,Janeiro,53,"Sunday, January 1, 2017"
1998,Goias,Fevereiro,0,"Thursday, January 1, 1998"
1999,Goias,Fevereiro,334,"Friday, January 1, 1999"
2000,Goias,Fevereiro,11,"Saturday, January 1, 2000"
2001,Goias,Fevereiro,9,"Monday, January 1, 2001"
2002,Goias,Fevereiro,9,"Tuesday, January 1, 2002"
2003,Goias,Fevereiro,47,"Wednesday, January 1, 2003"
2004,Goias,Fevereiro,11,"Thursday, January 1, 2004"
2005,Goias,Fevereiro,84,"Saturday, January 1, 2005"
2006,Goias,Fevereiro,21,"Sunday, January 1, 2006"
2007,Goias,Fevereiro,13,"Monday, January 1, 2007"
2008,Goias,Fevereiro,25,"Tuesday, January 1, 2008"
2009,Goias,Fevereiro,29,"Thursday, January 1, 2009"
2010,Goias,Fevereiro,86,"Friday, January 1, 2010"
2011,Goias,Fevereiro,45,"Saturday, January 1, 2011"
2012,Goias,Fevereiro,37,"Sunday, January 1, 2012"
2013,Goias,Fevereiro,86,"Tuesday, January 1, 2013"
2014,Goias,Fevereiro,44,"Wednesday, January 1, 2014"
2015,Goias,Fevereiro,53,"Thursday, January 1, 2015"
2016,Goias,Fevereiro,117,"Friday, January 1, 2016"
2017,Goias,Fevereiro,75,"Sunday, January 1, 2017"
1998,Goias,Março,0,"Thursday, January 1, 1998"
1999,Goias,Março,1,"Friday, January 1, 1999"
2000,Goias,Março,4,"Saturday, January 1, 2000"
2001,Goias,Março,10,"Monday, January 1, 2001"
2002,Goias,Março,48,"Tuesday, January 1, 2002"
2003,Goias,Março,29,"Wednesday, January 1, 2003"
2004,Goias,Março,36,"Thursday, January 1, 2004"
2005,Goias,Março,36,"Saturday, January 1, 2005"
2006,Goias,Março,29,"Sunday, January 1, 2006"
2007,Goias,Março,49,"Monday, January 1, 2007"
2008,Goias,Março,20,"Tuesday, January 1, 2008"
2009,Goias,Março,32,"Thursday, January 1, 2009"
2010,Goias,Março,65,"Friday, January 1, 2010"
2011,Goias,Março,19,"Saturday, January 1, 2011"
2012,Goias,Março,57,"Sunday, January 1, 2012"
2013,Goias,Março,79,"Tuesday, January 1, 2013"
2014,Goias,Março,80,"Wednesday, January 1, 2014"
2015,Goias,Março,76,"Thursday, January 1, 2015"
2016,Goias,Março,136,"Friday, January 1, 2016"
2017,Goias,Março,115,"Sunday, January 1, 2017"
1998,Goias,Abril,0,"Thursday, January 1, 1998"
1999,Goias,Abril,25,"Friday, January 1, 1999"
2000,Goias,Abril,16,"Saturday, January 1, 2000"
2001,Goias,Abril,49,"Monday, January 1, 2001"
2002,Goias,Abril,78,"Tuesday, January 1, 2002"
2003,Goias,Abril,87,"Wednesday, January 1, 2003"
2004,Goias,Abril,32,"Thursday, January 1, 2004"
2005,Goias,Abril,55,"Saturday, January 1, 2005"
2006,Goias,Abril,22,"Sunday, January 1, 2006"
2007,Goias,Abril,17,"Monday, January 1, 2007"
2008,Goias,Abril,36,"Tuesday, January 1, 2008"
2009,Goias,Abril,11,"Thursday, January 1, 2009"
2010,Goias,Abril,105,"Friday, January 1, 2010"
2011,Goias,Abril,71,"Saturday, January 1, 2011"
2012,Goias,Abril,89,"Sunday, January 1, 2012"
2013,Goias,Abril,42,"Tuesday, January 1, 2013"
2014,Goias,Abril,138,"Wednesday, January 1, 2014"
2015,Goias,Abril,89,"Thursday, January 1, 2015"
2016,Goias,Abril,167,"Friday, January 1, 2016"
2017,Goias,Abril,60,"Sunday, January 1, 2017"
1998,Goias,Maio,0,"Thursday, January 1, 1998"
1999,Goias,Maio,99,"Friday, January 1, 1999"
2000,Goias,Maio,58,"Saturday, January 1, 2000"
2001,Goias,Maio,85,"Monday, January 1, 2001"
2002,Goias,Maio,171,"Tuesday, January 1, 2002"
2003,Goias,Maio,57,"Wednesday, January 1, 2003"
2004,Goias,Maio,157,"Thursday, January 1, 2004"
2005,Goias,Maio,164,"Saturday, January 1, 2005"
2006,Goias,Maio,33,"Sunday, January 1, 2006"
2007,Goias,Maio,94,"Monday, January 1, 2007"
2008,Goias,Maio,41,"Tuesday, January 1, 2008"
2009,Goias,Maio,104,"Thursday, January 1, 2009"
2010,Goias,Maio,239,"Friday, January 1, 2010"
2011,Goias,Maio,136,"Saturday, January 1, 2011"
2012,Goias,Maio,103,"Sunday, January 1, 2012"
2013,Goias,Maio,150,"Tuesday, January 1, 2013"
2014,Goias,Maio,210,"Wednesday, January 1, 2014"
2015,Goias,Maio,129,"Thursday, January 1, 2015"
2016,Goias,Maio,233,"Friday, January 1, 2016"
2017,Goias,Maio,135,"Sunday, January 1, 2017"
1998,Goias,Junho,172,"Thursday, January 1, 1998"
1999,Goias,Junho,250,"Friday, January 1, 1999"
2000,Goias,Junho,222,"Saturday, January 1, 2000"
2001,Goias,Junho,212,"Monday, January 1, 2001"
2002,Goias,Junho,302,"Tuesday, January 1, 2002"
2003,Goias,Junho,321,"Wednesday, January 1, 2003"
2004,Goias,Junho,422,"Thursday, January 1, 2004"
2005,Goias,Junho,189,"Saturday, January 1, 2005"
2006,Goias,Junho,70,"Sunday, January 1, 2006"
2007,Goias,Junho,186,"Monday, January 1, 2007"
2008,Goias,Junho,55,"Tuesday, January 1, 2008"
2009,Goias,Junho,179,"Thursday, January 1, 2009"
2010,Goias,Junho,278,"Friday, January 1, 2010"
2011,Goias,Junho,314,"Saturday, January 1, 2011"
2012,Goias,Junho,245,"Sunday, January 1, 2012"
2013,Goias,Junho,192,"Tuesday, January 1, 2013"
2014,Goias,Junho,318,"Wednesday, January 1, 2014"
2015,Goias,Junho,277,"Thursday, January 1, 2015"
2016,Goias,Junho,289,"Friday, January 1, 2016"
2017,Goias,Junho,442,"Sunday, January 1, 2017"
1998,Goias,Julho,512,"Thursday, January 1, 1998"
1999,Goias,Julho,311,"Friday, January 1, 1999"
2000,Goias,Julho,332,"Saturday, January 1, 2000"
2001,Goias,Julho,371,"Monday, January 1, 2001"
2002,Goias,Julho,686,"Tuesday, January 1, 2002"
2003,Goias,Julho,322,"Wednesday, January 1, 2003"
2004,Goias,Julho,778,"Thursday, January 1, 2004"
2005,Goias,Julho,363,"Saturday, January 1, 2005"
2006,Goias,Julho,169,"Sunday, January 1, 2006"
2007,Goias,Julho,399,"Monday, January 1, 2007"
2008,Goias,Julho,193,"Tuesday, January 1, 2008"
2009,Goias,Julho,470,"Thursday, January 1, 2009"
2010,Goias,Julho,941,"Friday, January 1, 2010"
2011,Goias,Julho,607,"Saturday, January 1, 2011"
2012,Goias,Julho,564,"Sunday, January 1, 2012"
2013,Goias,Julho,350,"Tuesday, January 1, 2013"
2014,Goias,Julho,446,"Wednesday, January 1, 2014"
2015,Goias,Julho,347,"Thursday, January 1, 2015"
2016,Goias,Julho,837,"Friday, January 1, 2016"
2017,Goias,Julho,577,"Sunday, January 1, 2017"
1998,Goias,Agosto,2.218,"Thursday, January 1, 1998"
1999,Goias,Agosto,1.198,"Friday, January 1, 1999"
2000,Goias,Agosto,925,"Saturday, January 1, 2000"
2001,Goias,Agosto,787,"Monday, January 1, 2001"
2002,Goias,Agosto,1.428,"Tuesday, January 1, 2002"
2003,Goias,Agosto,902,"Wednesday, January 1, 2003"
2004,Goias,Agosto,1.498,"Thursday, January 1, 2004"
2005,Goias,Agosto,639,"Saturday, January 1, 2005"
2006,Goias,Agosto,588,"Sunday, January 1, 2006"
2007,Goias,Agosto,2.382,"Monday, January 1, 2007"
2008,Goias,Agosto,568,"Tuesday, January 1, 2008"
2009,Goias,Agosto,647,"Thursday, January 1, 2009"
2010,Goias,Agosto,2.914,"Friday, January 1, 2010"
2011,Goias,Agosto,1.613,"Saturday, January 1, 2011"
2012,Goias,Agosto,912,"Sunday, January 1, 2012"
2013,Goias,Agosto,488,"Tuesday, January 1, 2013"
2014,Goias,Agosto,1.255,"Wednesday, January 1, 2014"
2015,Goias,Agosto,943,"Thursday, January 1, 2015"
2016,Goias,Agosto,1.032,"Friday, January 1, 2016"
2017,Goias,Agosto,1.492,"Sunday, January 1, 2017"
1998,Goias,Setembro,2.867,"Thursday, January 1, 1998"
1999,Goias,Setembro,1.898,"Friday, January 1, 1999"
2000,Goias,Setembro,1.293,"Saturday, January 1, 2000"
2001,Goias,Setembro,1.863,"Monday, January 1, 2001"
2002,Goias,Setembro,3.52,"Tuesday, January 1, 2002"
2003,Goias,Setembro,1.662,"Wednesday, January 1, 2003"
2004,Goias,Setembro,2.965,"Thursday, January 1, 2004"
2005,Goias,Setembro,1.341,"Saturday, January 1, 2005"
2006,Goias,Setembro,1.463,"Sunday, January 1, 2006"
2007,Goias,Setembro,3.745,"Monday, January 1, 2007"
2008,Goias,Setembro,1.255,"Tuesday, January 1, 2008"
2009,Goias,Setembro,685,"Thursday, January 1, 2009"
2010,Goias,Setembro,5.075,"Friday, January 1, 2010"
2011,Goias,Setembro,2.259,"Saturday, January 1, 2011"
2012,Goias,Setembro,2.452,"Sunday, January 1, 2012"
2013,Goias,Setembro,684,"Tuesday, January 1, 2013"
2014,Goias,Setembro,1.687,"Wednesday, January 1, 2014"
2015,Goias,Setembro,2.296,"Thursday, January 1, 2015"
2016,Goias,Setembro,1.703,"Friday, January 1, 2016"
2017,Goias,Setembro,3.238,"Sunday, January 1, 2017"
1998,Goias,Outubro,1.034,"Thursday, January 1, 1998"
1999,Goias,Outubro,743,"Friday, January 1, 1999"
2000,Goias,Outubro,905,"Saturday, January 1, 2000"
2001,Goias,Outubro,479,"Monday, January 1, 2001"
2002,Goias,Outubro,1.367,"Tuesday, January 1, 2002"
2003,Goias,Outubro,1.183,"Wednesday, January 1, 2003"
2004,Goias,Outubro,1.275,"Thursday, January 1, 2004"
2005,Goias,Outubro,1.717,"Saturday, January 1, 2005"
2006,Goias,Outubro,178,"Sunday, January 1, 2006"
2007,Goias,Outubro,1.195,"Monday, January 1, 2007"
2008,Goias,Outubro,1.231,"Tuesday, January 1, 2008"
2009,Goias,Outubro,367,"Thursday, January 1, 2009"
2010,Goias,Outubro,1.227,"Friday, January 1, 2010"
2011,Goias,Outubro,476,"Saturday, January 1, 2011"
2012,Goias,Outubro,1.524,"Sunday, January 1, 2012"
2013,Goias,Outubro,606,"Tuesday, January 1, 2013"
2014,Goias,Outubro,1.947,"Wednesday, January 1, 2014"
2015,Goias,Outubro,1.807,"Thursday, January 1, 2015"
2016,Goias,Outubro,522,"Friday, January 1, 2016"
2017,Goias,Outubro,2.401,"Sunday, January 1, 2017"
1998,Goias,Novembro,47,"Thursday, January 1, 1998"
1999,Goias,Novembro,110,"Friday, January 1, 1999"
2000,Goias,Novembro,26,"Saturday, January 1, 2000"
2001,Goias,Novembro,15,"Monday, January 1, 2001"
2002,Goias,Novembro,192,"Tuesday, January 1, 2002"
2003,Goias,Novembro,168,"Wednesday, January 1, 2003"
2004,Goias,Novembro,291,"Thursday, January 1, 2004"
2005,Goias,Novembro,144,"Saturday, January 1, 2005"
2006,Goias,Novembro,91,"Sunday, January 1, 2006"
2007,Goias,Novembro,79,"Monday, January 1, 2007"
2008,Goias,Novembro,90,"Tuesday, January 1, 2008"
2009,Goias,Novembro,89,"Thursday, January 1, 2009"
2010,Goias,Novembro,67,"Friday, January 1, 2010"
2011,Goias,Novembro,59,"Saturday, January 1, 2011"
2012,Goias,Novembro,57,"Sunday, January 1, 2012"
2013,Goias,Novembro,183,"Tuesday, January 1, 2013"
2014,Goias,Novembro,181,"Wednesday, January 1, 2014"
2015,Goias,Novembro,547,"Thursday, January 1, 2015"
2016,Goias,Novembro,123,"Friday, January 1, 2016"
2017,Goias,Novembro,117,"Sunday, January 1, 2017"
1998,Goias,Dezembro,13,"Thursday, January 1, 1998"
1999,Goias,Dezembro,20,"Friday, January 1, 1999"
2000,Goias,Dezembro,6,"Saturday, January 1, 2000"
2001,Goias,Dezembro,18,"Monday, January 1, 2001"
2002,Goias,Dezembro,115,"Tuesday, January 1, 2002"
2003,Goias,Dezembro,129,"Wednesday, January 1, 2003"
2004,Goias,Dezembro,56,"Thursday, January 1, 2004"
2005,Goias,Dezembro,5,"Saturday, January 1, 2005"
2006,Goias,Dezembro,7,"Sunday, January 1, 2006"
2007,Goias,Dezembro,16,"Monday, January 1, 2007"
2008,Goias,Dezembro,6,"Tuesday, January 1, 2008"
2009,Goias,Dezembro,39,"Thursday, January 1, 2009"
2010,Goias,Dezembro,48,"Friday, January 1, 2010"
2011,Goias,Dezembro,39,"Saturday, January 1, 2011"
2012,Goias,Dezembro,93,"Sunday, January 1, 2012"
2013,Goias,Dezembro,86,"Tuesday, January 1, 2013"
2014,Goias,Dezembro,68,"Wednesday, January 1, 2014"
2015,Goias,Dezembro,179,"Thursday, January 1, 2015"
2016,Goias,Dezembro,64,"Friday, January 1, 2016"
1998,Maranhao,Janeiro,0,"Thursday, January 1, 1998"
1999,Maranhao,Janeiro,54,"Friday, January 1, 1999"
2000,Maranhao,Janeiro,19,"Saturday, January 1, 2000"
2001,Maranhao,Janeiro,29,"Monday, January 1, 2001"
2002,Maranhao,Janeiro,48,"Tuesday, January 1, 2002"
2003,Maranhao,Janeiro,436,"Wednesday, January 1, 2003"
2004,Maranhao,Janeiro,241,"Thursday, January 1, 2004"
2005,Maranhao,Janeiro,450,"Saturday, January 1, 2005"
2006,Maranhao,Janeiro,221,"Sunday, January 1, 2006"
2007,Maranhao,Janeiro,428,"Monday, January 1, 2007"
2008,Maranhao,Janeiro,121,"Tuesday, January 1, 2008"
2009,Maranhao,Janeiro,240,"Thursday, January 1, 2009"
2010,Maranhao,Janeiro,319,"Friday, January 1, 2010"
2011,Maranhao,Janeiro,124,"Saturday, January 1, 2011"
2012,Maranhao,Janeiro,326,"Sunday, January 1, 2012"
2013,Maranhao,Janeiro,209,"Tuesday, January 1, 2013"
2014,Maranhao,Janeiro,195,"Wednesday, January 1, 2014"
2015,Maranhao,Janeiro,494,"Thursday, January 1, 2015"
2016,Maranhao,Janeiro,412,"Friday, January 1, 2016"
2017,Maranhao,Janeiro,187,"Sunday, January 1, 2017"
1998,Maranhao,Fevereiro,0,"Thursday, January 1, 1998"
