ID,NAME,LAT,LONG,ELEVATION
1,p-95-722,-9.523,-72.188,301.000
3,p-92-722,-9.211,-72.188,201.000
5,p-89-722,-8.899,-72.188,309.000
7,p-86-722,-8.586,-72.188,200.000
9,p-83-722,-8.274,-72.188,200.000
11,p-80-722,-7.962,-72.188,200.000
13,p-95-719,-9.523,-71.875,298.000
15,p-92-719,-9.211,-71.875,294.000
17,p-89-719,-8.899,-71.875,196.000
19,p-86-719,-8.586,-71.875,200.000
21,p-83-719,-8.274,-71.875,200.000
23,p-80-719,-7.962,-71.875,200.000
25,p-95-716,-9.523,-71.563,297.000
27,p-92-716,-9.211,-71.563,207.000
29,p-89-716,-8.899,-71.563,200.000
31,p-86-716,-8.586,-71.563,200.000
33,p-83-716,-8.274,-71.563,193.000
35,p-80-716,-7.962,-71.563,177.000
37,p-95-713,-9.523,-71.250,243.000
39,p-92-713,-9.211,-71.250,286.000
41,p-89-713,-8.899,-71.250,194.000
43,p-86-713,-8.586,-71.250,200.000
45,p-83-713,-8.274,-71.250,195.000
47,p-80-713,-7.962,-71.250,199.000
