"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-43.75","-4.21508979797363","99","35.173","21.022","0.132179112","2.01600022011166","0.571914279128806","21.6501138",
"1/2/1979","-43.75","-4.21508979797363","99","35.394","21.336","0.62313084","2.25661276585784","0.582791950934828","27.3634362",
"1/3/1979","-43.75","-4.21508979797363","99","34.913","19.834","0.1115801064","2.07093892731115","0.60681384026741","20.56455252",
"1/4/1979","-43.75","-4.21508979797363","99","35.861","22.437","0.2592089424","1.3384863416252","0.660420999348819","11.77334514",
"1/5/1979","-43.75","-4.21508979797363","99","31.473","23","9.546090228","1.83082915401188","0.801673639884417","25.4456388",
"1/6/1979","-43.75","-4.21508979797363","99","29.636","22.271","17.9883908064","1.68190347545879","0.902259736606216","23.1593022",
"1/7/1979","-43.75","-4.21508979797363","99","27.087","21.84","11.684993724","1.54064754668981","0.927303298402316","18.80054802",
"1/8/1979","-43.75","-4.21508979797363","99","30.691","20.806","4.8631664592","2.07523520598912","0.850471540596163","26.24540472",
"1/9/1979","-43.75","-4.21508979797363","99","32.31","21.212","3.6460878984","1.84090536800827","0.81116673573501","26.20141308",
"1/10/1979","-43.75","-4.21508979797363","99","35.111","20.26","1.33209324","1.87438954834039","0.665703318807592","23.16683916",
"1/11/1979","-43.75","-4.21508979797363","99","27.788","22.969","15.82460136","1.27668662390495","0.893293133513491","19.9357812",
"1/12/1979","-43.75","-4.21508979797363","99","31.866","22.318","7.908439752","1.48873978964146","0.884027745387348","17.10702648",
"1/13/1979","-43.75","-4.21508979797363","99","33.728","21.424","5.539514796","2.03383522661522","0.818178880773206","22.86765036",
"1/14/1979","-43.75","-4.21508979797363","99","31.727","21.982","15.875244576","2.06032250922272","0.886888128384445","22.2461469",
"1/15/1979","-43.75","-4.21508979797363","99","29.814","22.149","16.0469028","1.46474560507848","0.913970146625597","16.68380742",
"1/16/1979","-43.75","-4.21508979797363","99","28.06","22.522","16.85457504","1.62168269165834","0.929006503648593","6.9532272",
"1/17/1979","-43.75","-4.21508979797363","99","22.922","21.086","17.0047836","1.52858992354669","0.966219990542304","4.99927662",
"1/18/1979","-43.75","-4.21508979797363","99","24.65","20.612","16.74814392","0.641637751239199","0.960353861568372","4.97554074",
"1/19/1979","-43.75","-4.21508979797363","99","27.589","21.694","23.4437976","1.04710007247306","0.930563523209766","12.277740132",
"1/20/1979","-43.75","-4.21508979797363","99","30.579","20.314","1.8745431192","1.68599059893681","0.821309623686973","25.28476668",
"1/21/1979","-43.75","-4.21508979797363","99","33.232","22.382","0.3484729728","1.81761767613693","0.778955321737238","27.120604392",
"1/22/1979","-43.75","-4.21508979797363","99","34.391","22.45","0.6093980064","1.45002659571647","0.780788181410523","25.2561339",
"1/23/1979","-43.75","-4.21508979797363","99","27.25","22.287","17.4390761304","1.31416731877303","0.933622469104143","17.3261808",
"1/24/1979","-43.75","-4.21508979797363","99","30.713","22.838","26.6375449584","1.37643223506108","0.910358366889274","21.15180072",
"1/25/1979","-43.75","-4.21508979797363","99","32.219","21.09","10.7305526664","1.8378913072144","0.857555627327665","26.387664192",
"1/26/1979","-43.75","-4.21508979797363","99","29.322","22.528","7.0999186608","1.32025634012044","0.90487745418676","21.511005192",
"1/27/1979","-43.75","-4.21508979797363","99","28.539","22.646","22.5700365456","1.41709706203287","0.918345440355797","26.34367464",
"1/28/1979","-43.75","-4.21508979797363","99","31.204","21.427","6.191823528","1.75580704410514","0.827432751487919","21.38512896",
"1/29/1979","-43.75","-4.21508979797363","99","30.657","23.476","10.424991708","1.65660282285467","0.884526681280085","23.082296904",
"1/30/1979","-43.75","-4.21508979797363","99","27.639","23.129","6.578068248","1.5968091524259","0.901646824738973","11.694258612",
"1/31/1979","-43.75","-4.21508979797363","99","32.515","22.232","7.69729392","1.83726363575332","0.830926764734593","24.57050796",
"2/1/1979","-43.75","-4.21508979797363","99","31.919","21.619","4.2314508","2.1925087130483","0.814971615446582","27.02007936",
"2/2/1979","-43.75","-4.21508979797363","99","31.522","22.716","1.7011653192","1.77250670290453","0.785137909332223","23.60497104",
"2/3/1979","-43.75","-4.21508979797363","99","32.615","22.226","6.58406772","1.25720087020416","0.813943508697313","22.38293574",
"2/4/1979","-43.75","-4.21508979797363","99","29.589","22.875","11.27385972","1.73817613196789","0.903284623400165","15.945523416",
"2/5/1979","-43.75","-4.21508979797363","99","29.787","21.864","11.18545308","1.1215362382369","0.91608032938797","25.31930706",
"2/6/1979","-43.75","-4.21508979797363","99","27.384","22.446","4.492375524","1.22808454292399","0.931508507973162","11.79703062",
"2/7/1979","-43.75","-4.21508979797363","99","23.795","22.08","60.04540656","1.03140017160144","0.971515504513432","3.51393813",
"2/8/1979","-43.75","-4.21508979797363","99","28.184","21.398","12.12015042","1.43892544686386","0.929412779177605","15.820038648",
"2/9/1979","-43.75","-4.21508979797363","99","26.902","21.548","15.17915016","0.834522553097111","0.941974936310981","11.17214838",
"2/10/1979","-43.75","-4.21508979797363","99","30.353","21.396","5.14898568","1.54713182862699","0.837624454524554","27.172570248",
"2/11/1979","-43.75","-4.21508979797363","99","30.182","22.066","1.201628196","1.76664880841823","0.863594501069926","18.38108736",
"2/12/1979","-43.75","-4.21508979797363","99","30.272","22.446","12.39738228","1.16735252530392","0.903929057018802","23.96025504",
"2/13/1979","-43.75","-4.21508979797363","99","27.597","22.501","11.8214642664","1.19181834924621","0.939762017326251","22.796157672",
"2/14/1979","-43.75","-4.21508979797363","99","27.768","22.333","10.389807","0.959586222107241","0.936514729777289","12.562203672",
"2/15/1979","-43.75","-4.21508979797363","99","29.844","20.93","3.7696803408","1.5552728178296","0.890791124650399","25.341975432",
"2/16/1979","-43.75","-4.21508979797363","99","31.021","22.313","1.6153335432","1.37948456273023","0.855922306243678","22.60383462",
"2/17/1979","-43.75","-4.21508979797363","99","29.071","22.927","24.394798872","1.2348169621275","0.928541166687893","14.642723916",
"2/18/1979","-43.75","-4.21508979797363","99","26.339","23.013","8.2895332464","1.08895226998238","0.954510180877738","10.964136312",
"2/19/1979","-43.75","-4.21508979797363","99","27.038","22.594","10.6018074","0.964826057795185","0.950400294963503","18.62039124",
"2/20/1979","-43.75","-4.21508979797363","99","26.795","22.821","15.98253804","0.926427800350151","0.957249734418564","15.51070809",
"2/21/1979","-43.75","-4.21508979797363","99","30.916","22.348","8.3959616304","1.2757298226464","0.923140228783699","20.542721328",
"2/22/1979","-43.75","-4.21508979797363","99","28.109","23.04","14.804935128","0.993471655047434","0.94856943696633","17.262952812",
"2/23/1979","-43.75","-4.21508979797363","99","24.766","22.389","57.2911668","0.939143940765836","0.967300086741734","3.90285306",
"2/24/1979","-43.75","-4.21508979797363","99","23.934","21.822","171.407322","1.42399088059038","0.975006994678943","2.889334872",
"2/25/1979","-43.75","-4.21508979797363","99","24.9","21.19","22.23186912","1.22247560977282","0.968458330800865","9.02081196",
"2/26/1979","-43.75","-4.21508979797363","99","28.28","21.056","6.9239646","1.06055639833013","0.926338292143909","18.39987702",
"2/27/1979","-43.75","-4.21508979797363","99","27.573","22.611","20.45689236","0.971293555815294","0.949052165242084","21.76976124",
"2/28/1979","-43.75","-4.21508979797363","99","27.172","22.622","90.01752984","1.33341148692981","0.954603927027919","8.465118336",
"3/1/1979","-43.75","-4.21508979797363","99","28.25","22.378","6.2467554528","1.96421047928224","0.918902360830157","24.684862032",
"3/2/1979","-43.75","-4.21508979797363","99","27.916","21.67","7.8929894304","0.936530764599629","0.941001991617196","18.72472698",
"3/3/1979","-43.75","-4.21508979797363","99","26.711","21.967","6.0733797984","1.18979597232029","0.948498355729774","16.03907118",
